 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),174518,135904,102233,96865,104455,93068,99915,72222, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),65,39,23,38,9,21,23,95, 
 收到的其他与经营活动有关的现金(万元),4884,2749,2535,2140,2897,2523,2737,530, 
 经营活动现金流入小计(万元),179466,138692,104791,99043,107361,95612,102675,72847, 
 购买商品、接受劳务支付的现金(万元),85846,81525,52609,53795,64796,61427,65024,44316, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),54564,52027,36328,33428,30387,26541,22223,15662, 
 支付的各项税费(万元),5849,2704,2707,2679,2598,3808,2394,2764, 
 支付的其他与经营活动有关的现金(万元),9405,10481,7854,6073,5627,7422,5851,3668, 
 经营活动现金流出小计(万元),155664,146736,99498,95975,103408,99199,95492,66410, 
 经营活动产生的现金流量净额(万元),23802,-8045,5293,3068,3954,-3586,7183,6437, 
 收回投资所收到的现金(万元),188,188,--,0,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,0,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),9755,61,11,20,0,17,6,12, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,0,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,6900,--,0,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),9943,7148,11,20,0,17,6,12, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),951,2604,10858,3089,689,494,599,5036, 
 投资所支付的现金(万元),750,1650,--,6950,--,--,--,--, 
