 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),183792,307412,150744,115887,232939,332546,300910,305190,286734,179446, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),6357,8189,5716,6946,2766,2003,6215,1992,1798,1461, 
 经营活动现金流入小计(万元),190149,315602,156460,122833,235705,334549,307126,307182,288532,180907, 
 购买商品、接受劳务支付的现金(万元),111430,213811,46680,49998,79206,107361,57371,55876,57760,48572, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),40261,40494,41554,45409,45844,42603,40781,35994,26297,24216, 
 支付的各项税费(万元),17483,22071,24245,27891,57010,85046,87418,106469,80841,58608, 
 支付的其他与经营活动有关的现金(万元),11801,13919,5167,10635,5433,5387,6123,6645,6574,4710, 
 经营活动现金流出小计(万元),180975,290295,117646,133933,187493,240397,191693,204984,171472,136107, 
 经营活动产生的现金流量净额(万元),9174,25306,38814,-11100,48211,94152,115433,102198,117060,44800, 
 收回投资所收到的现金(万元),207650,252054,4495,23425,--,--,2400,--,3000,--, 
 取得投资收益所收到的现金(万元),2354,10739,3287,2139,32,25,156,59,81,22, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),54,18,448,219,313,201,1389,700,297,544, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,22014,--,284, 
 收到的其他与投资活动有关的现金(万元),631,21000,--,--,--,--,1220,2500,2906,900, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),210689,283811,8231,25783,344,225,5164,25272,6284,1750, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),14719,25437,34514,35401,38715,44528,47568,35767,26152,9594, 
 投资所支付的现金(万元),181908,255398,36022,49747,5000,--,--,2410,--,1600, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),900,--,--,--,--,--,--,--,--,--, 
