 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),44494,24954,24041,18587,17543,16365, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,704,448, 
 收到的其他与经营活动有关的现金(万元),1741,3946,1411,505,752,2177, 
 经营活动现金流入小计(万元),46234,28900,25452,19092,18999,18989, 
 购买商品、接受劳务支付的现金(万元),20845,10374,11711,9486,8935,9199, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),5884,2649,2105,1593,1168,914, 
 支付的各项税费(万元),5278,4405,3321,1356,2489,2175, 
 支付的其他与经营活动有关的现金(万元),2673,1520,1010,1654,981,946, 
 经营活动现金流出小计(万元),34680,18948,18147,14089,13572,13235, 
 经营活动产生的现金流量净额(万元),11554,9953,7305,5003,5426,5754, 
 收回投资所收到的现金(万元),75187,126159,--,--,--,--, 
 取得投资收益所收到的现金(万元),428,712,--,--,10,5, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),117,7,7,441,10,21, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,2400,--,130, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),75732,126878,7,2841,20,156, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),19504,5532,1669,2595,5575,6912, 
 投资所支付的现金(万元),45887,153642,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),15347,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,1000,--,2200,200,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),80738,160174,1669,4795,5775,6912, 
 投资活动产生的现金流量净额(万元),-5006,-33296,-1663,-1954,-5755,-6756, 
 吸收投资收到的现金(万元),--,23675,51,--,--,400, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,400, 
 取得借款收到的现金(万元),2841,--,1800,3100,2720,4465, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,1800,--,1100,500, 
 筹资活动现金流入小计(万元),2841,23675,3651,3100,3820,5365, 
 偿还债务支付的现金(万元),--,--,4900,2000,5185,2200, 
 分配股利、利润或偿付利息所支付的现金(万元),2743,--,644,2478,218,171, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,3081,--,500,1000,--, 
 筹资活动现金流出小计(万元),2743,3081,5544,4978,6403,2371, 
 筹资活动产生的现金流量净额(万元),98,20594,-1893,-1878,-2583,2994, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,-1,--,--, 
 现金及现金等价物净增加额(万元),6646,-2750,3749,1171,-2912,1991, 
 加:期初现金及现金等价物余额(万元),3732,6482,2733,1562,4474,2483, 
 期末现金及现金等价物余额(万元),10378,3732,6482,2733,1562,4474, 
 净利润(万元),11742,9915,5280,4673,3936,3542, 
 少数股东损益(万元),--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--, 
 资产减值准备(万元),318,204,-133,533,183,67, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),2242,1215,1133,1100,626,453, 
 无形资产摊销(万元),100,50,43,35,35,16, 
 长期待摊费用摊销(万元),23,50,48,25,12,33, 
 待摊费用的减少(万元),--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-5,-5,0,-180,51,53, 
 固定资产报废损失(万元),1,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--, 
 财务费用(万元),--,--,44,79,148,133, 
 投资损失(万元),-428,-712,--,--,-10,-5, 
 递延所得税资产减少(万元),-109,74,-68,-49,105,-210, 
 递延所得税负债增加(万元),-32,--,--,--,--,--, 
 存货的减少(万元),-4081,-1026,234,-1161,-487,156, 
 经营性应收项目的减少(万元),-11475,-4166,3216,-2245,556,1919, 
 经营性应付项目的增加(万元),13258,4353,-2493,2194,272,-404, 
