 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),136503,127915,117542,127488,133256,121148,111903,106645,89527,80833,70990,66740,56768, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,0,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,0,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,0,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,0,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,0,--,--,--,--, 
 处置交易性金融资产净增加额(万元),7813,-2207,9881,--,--,--,--,--,0,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),163552,141175,132874,--,--,--,--,--,0,--,--,--,--, 
 拆入资金净增加额(万元),10000,--,--,--,--,--,--,--,0,--,--,--,--, 
 回购业务资金净增加额(万元),67741,361483,-314889,--,--,--,--,--,0,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,138,1056,679,1089,1478,201,7718,245,210, 
 收到的其他与经营活动有关的现金(万元),357029,97962,85196,3091,4494,10552,9536,7726,6737,4185,4817,4670,8509, 
 经营活动现金流入小计(万元),742638,726327,30604,130579,137888,132756,122118,115460,97742,85220,83526,71656,65487, 
 购买商品、接受劳务支付的现金(万元),96224,75402,63996,71196,75196,67065,58448,51368,48649,50487,43692,38457,39310, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,0,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,0,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,0,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),42088,38265,20757,--,--,--,--,--,0,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,0,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),80261,77763,74028,22465,19132,17996,15527,13526,10751,9778,9086,7397,5881, 
 支付的各项税费(万元),26355,34569,27353,14376,12964,22128,26518,12861,5205,9283,16897,7321,1643, 
 支付的其他与经营活动有关的现金(万元),188550,1418774,774241,7495,7816,5077,10957,11729,3946,3192,3819,5936,3379, 
 经营活动现金流出小计(万元),433479,1644774,960375,115532,115109,112265,111450,89484,68550,72740,73493,59111,50213, 
 经营活动产生的现金流量净额(万元),309160,-918447,-929771,15047,22780,20491,10668,25975,29192,12481,10033,12545,15275, 
 收回投资所收到的现金(万元),57699,1405,90,101,68146,56317,27081,53193,21432,31681,44901,14091,30, 
 取得投资收益所收到的现金(万元),1611,3490,5749,2889,2004,8730,5678,976,523,1280,1009,42306,4017, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),39,-64,32,108,63,6,1,20,12996,161,1348,88,126, 
 处置子公司及其他营业单位收到的现金净额(万元),284,--,--,--,--,--,--,--,0,7,--,--,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,0,--,--,1003,7939, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,0,--,--,--,--, 
 投资活动现金流入小计(万元),59633,4832,5872,3098,70213,65052,32760,54188,34952,33129,47258,57488,12112, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),19035,29645,26271,26996,29671,19647,37968,42585,18890,12448,9915,6574,3464, 
 投资所支付的现金(万元),67425,1129,40,36,23365,5217,2463,98,21574,3689,87635,18869,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,0,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,532,--,--,--,818,--,0,--,--,7902,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,30,--,--,--,--,0,--,0,1,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,0,--,--,--,--, 
 投资活动现金流出小计(万元),86461,30774,26842,27062,53037,24863,41249,42683,40464,16137,97550,33346,3464, 
