 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31, 
 销售商品、提供劳务收到的现金(万元),2202453,1991571,2186195,1674433,835359,990087,897179,584882,1124764,573280,267307,369987,237819,145385, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 收到的税费返还(万元),5816,155,206,5841,370,407,22,--,--,0,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),11219,7106,7922,21369,5172,6030,3402,60954,10501,91453,53854,21511,18069,20525, 
 经营活动现金流入小计(万元),2219488,1998832,2194324,1701643,840900,996525,900603,645836,1135265,664732,321161,391498,255888,165909, 
 购买商品、接受劳务支付的现金(万元),3242653,1190535,515025,662333,808055,781213,304142,885402,954990,541482,429110,429160,183816,117863, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),31201,31652,40432,33794,26718,21464,18253,16568,10201,5292,4915,2118,1372,1045, 
 支付的各项税费(万元),280816,251587,281944,176546,117865,129358,104543,201375,107251,66862,33893,59278,24385,20554, 
