 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),1203543,967627,1293865,848211,635426,697143,782797,780653,586211,505760,349404,344475,270795, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,0,--,0,--, 
 收到的其他与经营活动有关的现金(万元),134680,89458,56804,46781,45132,290344,53408,34716,9147,13157,51345,1203,956, 
 经营活动现金流入小计(万元),1338223,1057085,1350668,894992,680558,987487,836205,815369,595358,518917,400749,345677,271751, 
 购买商品、接受劳务支付的现金(万元),1013362,686842,904492,616033,651772,797891,474171,867143,696206,487648,339874,275329,254711, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 支付给职工以及为职工支付的现金(万元),37254,29951,25955,26064,25762,23248,20250,18893,14718,12439,11574,10303,8512, 
 支付的各项税费(万元),109492,97539,101594,87918,89778,97454,95446,64175,38718,40793,19784,35447,10121, 
 支付的其他与经营活动有关的现金(万元),168767,229615,84277,160624,65311,61404,169403,39685,59653,33440,27574,21700,12284, 
 经营活动现金流出小计(万元),1328875,1043946,1116317,890640,832623,979997,759271,989896,809294,574319,398806,342780,285628, 
 经营活动产生的现金流量净额(万元),9348,13139,234351,4352,-152065,7490,76934,-174527,-213936,-55402,1942,2897,-13877, 
 收回投资所收到的现金(万元),200,4390,18758,28950,--,--,400,--,4980,0,5022,0,--, 
 取得投资收益所收到的现金(万元),177,2805,2352,50,--,--,--,--,9524,99,128,0,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),537,184,68,39,52,58,204,878,2462,465,187,1778,95, 
 处置子公司及其他营业单位收到的现金净额(万元),142,--,2005,5197,6329,2355,--,--,--,2,--,0,--, 
 收到的其他与投资活动有关的现金(万元),38645,106,6473,--,--,--,--,--,--,0,--,0,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
