 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),200960,154130,140982,161968,133546,131159,84657,101679,57810,37660, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),5725,4507,7446,2796,3110,3024,4858,2620,2788,1525, 
 收到的其他与经营活动有关的现金(万元),3154,5968,3409,2090,1636,1350,1574,1136,637,611, 
 经营活动现金流入小计(万元),209839,164605,151837,166855,138293,135533,91089,105435,61235,39795, 
 购买商品、接受劳务支付的现金(万元),21520,12617,9760,9495,8650,6024,4543,3968,3776,2058, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),12742,11156,9454,8254,6389,6487,5669,4635,2796,1515, 
 支付的各项税费(万元),21394,16518,15242,11582,9491,12505,11197,8218,8543,5459, 
 支付的其他与经营活动有关的现金(万元),3643,3982,3537,2624,1759,1658,2484,2946,2187,2483, 
 经营活动现金流出小计(万元),59299,44274,37993,31955,26289,26674,23893,19767,17302,11515, 
 经营活动产生的现金流量净额(万元),150540,120331,113845,134900,112004,108858,67196,85668,43932,28281, 
 收回投资所收到的现金(万元),--,--,123600,47000,--,--,--,12546,--,--, 
 取得投资收益所收到的现金(万元),--,--,1129,399,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),451,443,636,31,40,83,1,288,200,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),2563,1110,9595,473,647,2306,312,6153,7338,18329, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),3014,1552,134960,47904,687,2389,313,18987,7538,18329, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),174520,265726,276283,229699,138077,121492,98120,81694,112652,308539, 
 投资所支付的现金(万元),--,--,123690,47030,--,--,--,12500,--,1211, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,899,--,--,1994,30,60,4428,--,--, 
 支付的其他与投资活动有关的现金(万元),9911,960,2759,821,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),184431,267585,402733,277550,140070,121522,98180,98622,112652,309750, 
 投资活动产生的现金流量净额(万元),-181418,-266032,-267772,-229646,-139383,-119133,-97867,-79635,-105114,-291421, 
 吸收投资收到的现金(万元),--,--,--,294700,33918,--,--,--,--,144126, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,21426, 
 取得借款收到的现金(万元),286624,318366,240853,238908,128451,156995,111200,135600,86377,203839, 
 发行债券收到的现金(万元),69580,29820,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,2572,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),356204,348186,243424,533608,162368,156995,111200,135600,86377,347965, 
 偿还债务支付的现金(万元),218050,145644,230787,84064,64099,111571,52456,49511,15310,83079, 
 分配股利、利润或偿付利息所支付的现金(万元),70876,54824,57010,58673,57510,54706,45781,30020,23183,28217, 
 其中：子公司支付给少数股东的股利、利润(万元),854,727,5655,3953,5320,6804,7339,2081,--,--, 
 支付其他与筹资活动有关的现金(万元),1481,10,104,309,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),290407,200477,287901,143046,121608,166277,98237,79531,38493,111296, 
 筹资活动产生的现金流量净额(万元),65797,147709,-44476,390562,40760,-9282,12963,56069,47884,236669, 
 汇率变动对现金及现金等价物的影响(万元),-1965,-23,606,-0,-3,-120,6,-0,25,-18, 
 现金及现金等价物净增加额(万元),32953,1985,-197798,295816,13378,-19676,-17702,62102,-13272,-26490, 
 加:期初现金及现金等价物余额(万元),149652,147667,345465,49649,36271,55948,73650,11548,24820,51310, 
 期末现金及现金等价物余额(万元),182605,149652,147667,345465,49649,36271,55948,73650,11548,24820, 
 净利润(万元),59706,46158,26935,26620,22723,25296,26774,21848,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),6566,929,--,--,--,--,--,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),87230,75320,65716,59335,49456,42013,39339,35638,--,--, 
 无形资产摊销(万元),604,304,300,253,164,131,105,60,--,--, 
 长期待摊费用摊销(万元),181,9,2,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-2,-5,-2,157,4,-1,0,32,--,--, 
 固定资产报废损失(万元),2,176,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),47638,38917,35651,39720,37421,31334,34541,25730,--,--, 
 投资损失(万元),-55,-186,-1234,-1,-0,-53,-72,-47,--,--, 
 递延所得税资产减少(万元),844,-150,4,4,-34,-70,--,--,--,--, 
 递延所得税负债增加(万元),2084,--,--,--,--,--,--,--,--,--, 
