 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),90217,63753,57840,50392,27783,22043,21419,18799,14788,7412, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),944,1035,1039,964,589,809,1067,742,391,515, 
 收到的其他与经营活动有关的现金(万元),2439,2203,2819,1759,1490,472,205,371,11511,5692, 
 经营活动现金流入小计(万元),93600,66991,61698,53114,29861,23323,22691,19912,26691,13619, 
 购买商品、接受劳务支付的现金(万元),64199,41338,27327,21521,15572,10592,8161,8002,5867,2312, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),14689,17287,14010,9540,4792,3339,2812,2369,1410,692, 
 支付的各项税费(万元),7124,7338,5410,3246,2447,2569,2912,2389,2180,1049, 
 支付的其他与经营活动有关的现金(万元),11866,10023,10627,8077,3310,2443,2374,2672,13273,5355, 
 经营活动现金流出小计(万元),97877,75987,57374,42384,26121,18944,16258,15432,22729,9407, 
 经营活动产生的现金流量净额(万元),-4277,-8996,4324,10730,3741,4380,6433,4480,3962,4212, 
 收回投资所收到的现金(万元),--,--,--,--,6000,--,--,--,--,3371, 
 取得投资收益所收到的现金(万元),79,18,69,--,52,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),81,97,24,7,17,3,2,0,31,8, 
 处置子公司及其他营业单位收到的现金净额(万元),6819,300,1315,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),6528,4065,13930,505,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),13508,4480,15338,513,6069,3,2,0,31,3379, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1351,6120,4487,2254,7712,9100,3489,5983,972,488, 
 投资所支付的现金(万元),75,800,11830,1055,6825,--,0,151,0,26, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),13322,379,--,198,5884,--,--,--,--,1086, 
 支付的其他与投资活动有关的现金(万元),6119,4200,13930,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),20866,11499,30246,3507,20421,9100,3489,6134,972,1601, 
 投资活动产生的现金流量净额(万元),-7359,-7019,-14908,-2994,-14352,-9097,-3488,-6134,-942,1778, 
 吸收投资收到的现金(万元),--,7290,4984,14780,20476,--,0,0,2542,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,1349,4984,1580,1210,--,--,--,--,--, 
 取得借款收到的现金(万元),17800,10900,16108,12650,7600,--,--,--,--,2000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),25797,390,5994,4888,6947,--,--,--,--,--, 
 筹资活动现金流入小计(万元),43597,18580,27086,32318,35023,0,0,0,2542,2000, 
 偿还债务支付的现金(万元),11828,12418,7740,12650,500,--,0,0,2000,1400, 
 分配股利、利润或偿付利息所支付的现金(万元),1889,2605,2752,1666,2512,--,0,0,6,84, 
 其中：子公司支付给少数股东的股利、利润(万元),738,812,1060,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),20212,1414,4654,7525,10175,--,--,--,--,--, 
 筹资活动现金流出小计(万元),33929,16437,15146,21841,13186,0,0,0,2006,1484, 
 筹资活动产生的现金流量净额(万元),9668,2143,11940,10478,21837,0,0,0,536,516, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-1968,-13872,1356,18213,11226,-4717,2945,-1654,3556,6506, 
 加:期初现金及现金等价物余额(万元),24933,38804,37448,19235,8009,12726,9782,11436,7880,1373, 
 期末现金及现金等价物余额(万元),22965,24933,38804,37448,19235,8009,12726,9782,11436,7880, 
 净利润(万元),3513,-21370,7536,7694,5373,5499,5491,4543,3357,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),5524,28291,2699,1310,649,310,81,15,128,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),2566,2751,2210,2070,1285,369,348,330,309,--, 
 无形资产摊销(万元),1119,1245,1217,773,298,156,147,92,66,--, 
 长期待摊费用摊销(万元),319,1014,81,5,1,--,8,5,5,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),6,-16,-5,-16,-1,1,3,1,5,--, 
 固定资产报废损失(万元),2,2,--,0,1,1,0,--,--,--, 
 公允价值变动损失(万元),--,-11099,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),1189,729,626,680,42,--,--,--,3,--, 
 投资损失(万元),-6506,947,-71,12,-29,--,--,--,--,--, 
 递延所得税资产减少(万元),-2165,-770,-807,-438,-215,-99,-69,-20,-65,--, 
 递延所得税负债增加(万元),-585,1536,-132,-55,12,-15,-15,-15,-20,--, 
 存货的减少(万元),-5453,-9664,-1104,945,-1703,-965,592,-1468,49,--, 
 经营性应收项目的减少(万元),-19580,-8623,-17323,-1910,-4695,-1801,-1083,1945,230,--, 
 经营性应付项目的增加(万元),15335,6533,9398,-340,2724,923,930,-947,-106,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--, 
 其他(万元),440,-500,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),-4277,-8996,4324,10730,3741,4380,6433,4480,3962,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),22965,24933,38804,37448,19235,8009,12726,9782,11436,7880, 
 现金的期初余额(万元),24933,38804,37448,19235,8009,12726,9782,11436,7880,1373, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-1968,-13872,1356,18213,11226,-4717,2945,-1654,3556,6506, 

