 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),287340,249508,142330,131549,139221,148970,125571,104914,64601,39711,27687, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),7161,7331,6917,1775,15790,2002,1636,1225,399,237,20, 
 经营活动现金流入小计(万元),294501,256839,149248,133324,155011,150972,127207,106140,65000,39948,27706, 
 购买商品、接受劳务支付的现金(万元),126341,119847,57503,45790,56117,67315,67105,59765,29597,22700,13507, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),58857,48451,34048,32897,31910,30650,21879,11665,6658,3507,1934, 
 支付的各项税费(万元),16317,12597,14755,13728,26533,20248,17477,11630,6663,2738,2253, 
 支付的其他与经营活动有关的现金(万元),87548,63008,29699,25827,36900,31468,20415,16612,6361,4821,5903, 
 经营活动现金流出小计(万元),289062,243902,136004,118242,151460,149681,126877,99673,49280,33767,23597, 
 经营活动产生的现金流量净额(万元),5438,12937,13243,15083,3551,1291,331,6467,15721,6181,4109, 
 收回投资所收到的现金(万元),175059,1795,--,--,--,--,--,52,--,--,--, 
 取得投资收益所收到的现金(万元),23412,3250,--,--,--,--,--,1,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),9,42,20,33,--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),5156,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),94346,53197,64437,80384,113141,126176,43153,218,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),297983,58285,64457,80417,113141,126176,43153,271,0,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),9409,7701,4088,1773,2818,10703,26535,10261,7169,448,600, 
