 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31, 
 销售商品、提供劳务收到的现金(万元),16490,938,278,138, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--, 
 收到的税费返还(万元),--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),666,35478,27,--, 
 经营活动现金流入小计(万元),17156,36415,305,138, 
 购买商品、接受劳务支付的现金(万元),9644,764,192,126, 
 客户贷款及垫款净增加额(万元),--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1143,159,13,5, 
 支付的各项税费(万元),86,389,0,--, 
 支付的其他与经营活动有关的现金(万元),1779,35424,96,0, 
 经营活动现金流出小计(万元),12652,36736,301,132, 
 经营活动产生的现金流量净额(万元),4504,-320,3,6, 
 收回投资所收到的现金(万元),--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),2320,--,941,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--, 
 投资活动现金流入小计(万元),2320,0,941,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),6,376,--,--, 
 投资所支付的现金(万元),--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),46,--,--,--, 
 支付的其他与投资活动有关的现金(万元),708,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--, 
 投资活动现金流出小计(万元),760,376,0,0, 
 投资活动产生的现金流量净额(万元),1560,-376,941,0, 
 吸收投资收到的现金(万元),--,428,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,428,--,--, 
 取得借款收到的现金(万元),2877,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),16166,477,--,--, 
 筹资活动现金流入小计(万元),19043,905,0,0, 
 偿还债务支付的现金(万元),2167,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),64,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),20452,1126,--,--, 
 筹资活动现金流出小计(万元),22683,1126,0,0, 
 筹资活动产生的现金流量净额(万元),-3640,-220,0,0, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--, 
 现金及现金等价物净增加额(万元),2425,-916,944,6, 
 加:期初现金及现金等价物余额(万元),34,950,6,--, 
 期末现金及现金等价物余额(万元),2458,34,950,6, 
 净利润(万元),1662,81,41,27, 
 少数股东损益(万元),--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--, 
 资产减值准备(万元),-1194,33,-1,1, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),17,16,--,--, 
 无形资产摊销(万元),132,--,--,--, 
 长期待摊费用摊销(万元),4,--,--,--, 
 待摊费用的减少(万元),--,--,--,--, 
 预提费用的增加(万元),--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--, 
 固定资产报废损失(万元),--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--, 
 预计负债(万元),--,--,--,--, 
 财务费用(万元),403,--,--,--, 
 投资损失(万元),261,--,--,--, 
 递延所得税资产减少(万元),172,-11,0,-0, 
 递延所得税负债增加(万元),--,--,--,--, 
 存货的减少(万元),-223,-125,--,--, 
 经营性应收项目的减少(万元),11953,-179,-333,-30, 
 经营性应付项目的增加(万元),-8682,-136,295,9, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--, 
 其他(万元),--,--,--,--, 
 经营活动产生现金流量净额(万元),4504,-320,3,6, 
 债务转为资本(万元),--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--, 
 现金的期末余额(万元),2458,34,950,6, 
 现金的期初余额(万元),34,950,6,--, 
 现金等价物的期末余额(万元),--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--, 
 现金及现金等价物的净增加额(万元),2425,-916,944,6, 

