 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),334067,377928,220292,188099,168804,161644,144271,124642,105405,69440,79915,83164,69476, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,0,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收到的税费返还(万元),615,670,540,153,192,395,127,333,147,201,146,261,10, 
 收到的其他与经营活动有关的现金(万元),24200,5297,4452,3000,1446,572,544,1191,3968,305,1310,45,349, 
 经营活动现金流入小计(万元),358882,383895,225283,191252,170442,162611,144942,126165,109521,69945,81371,83470,69834, 
 购买商品、接受劳务支付的现金(万元),235606,304392,134452,93089,84935,81581,78291,80020,53702,36914,43138,47180,40125, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 支付给职工以及为职工支付的现金(万元),32503,31598,26272,18322,19439,19489,14220,11821,9971,7305,9621,9030,6790, 
 支付的各项税费(万元),19527,23197,24800,24093,16448,11424,8363,5263,4487,6249,7028,7905,10101, 
 支付的其他与经营活动有关的现金(万元),42000,23170,18881,8207,6885,5770,6001,6304,4152,3963,3142,4488,3740, 
 经营活动现金流出小计(万元),329635,382357,204404,143710,127707,118264,106875,103408,72313,54430,62930,68603,60756, 
 经营活动产生的现金流量净额(万元),29247,1539,20879,47542,42735,44347,38067,22757,37208,15515,18442,14867,9079, 
 收回投资所收到的现金(万元),--,1470,--,--,--,--,0,0,360,17,--,1400,2860, 
 取得投资收益所收到的现金(万元),--,1872,2350,407,44,124,0,1080,994,30,45,1055,86, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),178,105,248,145,156,85,10,109,109,59,212,1342,60, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 收到的其他与投资活动有关的现金(万元),506,31000,47903,136,--,--,0,0,115,17,--,0,129, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 投资活动现金流入小计(万元),684,34448,50501,688,200,210,10,1189,1578,123,257,3797,3135, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),82617,124288,100606,142444,58460,58552,68478,63351,35952,17950,11437,13408,17530, 
 投资所支付的现金(万元),532,453,1670,3,--,--,0,0,--,0,2550,0,2172, 
 质押贷款净增加额(万元),--,--,--,--,--,--,0,0,--,0,--,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,0,--,--,0,--,0,0, 
 支付的其他与投资活动有关的现金(万元),--,1,46974,32000,--,--,0,0,283,0,--,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 投资活动现金流出小计(万元),83149,124741,149250,174447,58460,58552,68478,63351,36236,17950,13987,13408,19702, 
 投资活动产生的现金流量净额(万元),-82465,-90293,-98749,-173758,-58259,-58342,-68469,-62162,-34658,-17827,-13730,-9611,-16567, 
 吸收投资收到的现金(万元),--,20490,500,144512,--,--,0,62625,--,0,--,0,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,90,500,--,--,--,0,0,--,0,--,0,0, 
 取得借款收到的现金(万元),328299,238646,141774,154893,115650,84900,69100,70900,87870,58870,31900,55400,71900, 
 发行债券收到的现金(万元),--,110000,180,--,--,--,70000,0,--,0,--,89,2, 
 收到其他与筹资活动有关的现金(万元),42196,41068,39842,3003,10147,116,139,441,53,38,10072,0,0, 
 筹资活动现金流入小计(万元),370495,410204,182296,302409,125797,85016,139239,133966,87923,58908,41972,55489,71902, 
 偿还债务支付的现金(万元),248329,245420,100765,125429,100050,57200,90500,82370,71870,39900,42400,52900,49928, 
 分配股利、利润或偿付利息所支付的现金(万元),31335,22840,17956,14256,13868,12018,7857,5927,8249,6212,6498,7736,4038, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,0,0,1026,0,--,0,0, 
 支付其他与筹资活动有关的现金(万元),35949,15640,7619,5387,4534,4232,818,2739,3640,3665,1095,6,23, 
 筹资活动现金流出小计(万元),315612,283900,126340,145072,118452,73450,99175,91036,83759,49778,49993,60641,53989, 
 筹资活动产生的现金流量净额(万元),54882,126305,55956,157337,7345,11566,40064,42930,4164,9130,-8020,-5152,17913, 
 汇率变动对现金及现金等价物的影响(万元),118,-659,100,125,-21,-16,-16,-26,-33,-12,-86,-62,-29, 
 现金及现金等价物净增加额(万元),1781,36891,-21813,31246,-8200,-2445,9647,3500,6682,6806,-3395,42,10395, 
 加:期初现金及现金等价物余额(万元),73026,36131,57944,26698,34898,37343,27697,24197,17515,10709,14105,13771,3376, 
 期末现金及现金等价物余额(万元),74807,73022,36131,57944,26698,34898,37343,27697,24197,17515,10709,13813,13771, 
 净利润(万元),-24964,33965,36963,27487,22360,20955,17108,13082,6757,2196,4213,5696,5740, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,793,--,0,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 资产减值准备(万元),29214,6495,1254,2853,1458,653,-648,-1510,-743,1444,-62,1151,1488, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),35939,30417,26273,21326,18976,15723,11702,10119,9329,8575,7943,6920,6621, 
 无形资产摊销(万元),859,1937,1790,408,372,145,72,73,73,79,81,96,100, 
 长期待摊费用摊销(万元),188,171,114,39,21,21,21,21,33,45,167,3,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),152,113,537,-320,-31,142,61,-211,-21,-58,-142,-63,-16, 
 固定资产报废损失(万元),0,--,--,--,--,--,0,0,--,0,--,0,0, 
 公允价值变动损失(万元),-7597,--,--,0,--,--,0,0,--,0,--,0,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 财务费用(万元),30438,17695,14113,11745,10811,9408,7914,5563,6231,4919,5999,5135,3861, 
 投资损失(万元),-304,-436,-1189,-2880,-1295,-2409,-1312,-1086,104,-54,-70,-1053,-7, 
 递延所得税资产减少(万元),2039,-1737,-344,-155,-204,-75,131,327,407,-656,122,-55,-41, 
 递延所得税负债增加(万元),1140,-192,-192,--,--,--,0,0,--,0,-15,0,0, 
 存货的减少(万元),-31694,-35183,-571,15357,4636,-5693,-4495,-11752,-3428,-1532,-4184,-4490,7180, 
 经营性应收项目的减少(万元),-21004,-101320,-68161,-26699,-17404,-12971,6285,-11716,10364,531,5400,362,-13150, 
 经营性应付项目的增加(万元),14586,49652,10269,-1636,2969,18377,1165,19780,8044,-766,-868,1194,-2724, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 其他(万元),255,-38,--,-10,--,--,0,0,--,0,-144,-28,28, 
 经营活动产生现金流量净额(万元),29247,1539,20879,47542,42735,44347,38067,22757,37208,15515,18442,14867,9079, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 现金的期末余额(万元),74807,73022,36131,57944,26698,34898,37343,27697,24197,17515,10709,13813,13771, 
 现金的期初余额(万元),73026,36131,57944,26698,34898,37343,27697,24197,17515,10709,14105,13771,3376, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0, 
 现金及现金等价物的净增加额(万元),1781,36891,-21813,31246,-8200,-2445,9647,3500,6682,6806,-3395,42,10395, 

