 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31, 
 销售商品、提供劳务收到的现金(万元),119906,126461,134462,95687,89606,70304,96373,133446,75956,42916,66468,56801,35642,23947, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到的税费返还(万元),848,5284,4831,4918,923,1296,1178,385,139,597,51,12,0,0, 
 收到的其他与经营活动有关的现金(万元),14940,21251,31193,9744,8771,7713,9561,9737,12633,1431,2462,1129,241,213, 
 经营活动现金流入小计(万元),135694,152996,170486,110350,99300,79313,107112,143568,88728,44943,68980,57942,35883,24159, 
 购买商品、接受劳务支付的现金(万元),77016,64943,47556,57848,70018,55964,59897,101050,66390,48777,54558,43933,23047,8612, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),21263,20074,17903,17713,16852,13852,14636,11518,7627,6480,6075,2866,1639,800, 
 支付的各项税费(万元),7545,5084,4986,3189,3140,6033,11603,13018,9951,5387,3862,3569,1767,546, 
 支付的其他与经营活动有关的现金(万元),28383,33713,28491,19526,17466,13560,12751,11185,13155,6713,4288,4789,5547,1345, 
 经营活动现金流出小计(万元),134207,123814,98937,98276,107477,89410,98888,136770,97123,67357,68783,55156,32000,11303, 
 经营活动产生的现金流量净额(万元),1487,29181,71549,12074,-8177,-10097,8225,6798,-8395,-22414,198,2787,3883,12857, 
 收回投资所收到的现金(万元),292898,321657,224022,118749,115080,97518,5,1740,--,--,0,0,0,0, 
 取得投资收益所收到的现金(万元),3513,3413,1626,13550,266,907,144,1,--,--,0,33,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),43555,415,2075,3051,15,140,9,27,--,35,90,98,302,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,9632,--,--,--,--,--,2150,--,--,0,0,0,0, 
 收到的其他与投资活动有关的现金(万元),1713,22403,4870,--,90,4060,1270,35376,1804,4037,1331,102,32,18, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 投资活动现金流入小计(万元),341679,357519,232594,135350,115451,102625,1429,39293,1804,4072,1420,233,335,19, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),60524,57643,20822,17778,14356,28477,24348,8670,9343,8093,16365,12129,5392,5622, 
 投资所支付的现金(万元),266819,355640,241895,120515,185800,94920,449,1163,--,--,0,0,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,8577,4532,--,65000,--,6199,--,--,0,0,0,0, 
 支付的其他与投资活动有关的现金(万元),7980,7489,19184,7417,3125,2504,9500,31960,3500,3250,1365,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 投资活动现金流出小计(万元),335322,420773,290478,150241,203281,190900,34297,47991,12843,11343,17730,12129,5392,5622, 
 投资活动产生的现金流量净额(万元),6356,-63254,-57885,-14892,-87830,-88275,-32868,-8698,-11039,-7271,-16310,-11897,-5058,-5603, 
 吸收投资收到的现金(万元),23922,48143,490,490,55743,86200,--,3500,8464,980,50395,9998,0,235, 
 其中：子公司吸收少数股东投资收到的现金(万元),23922,48143,490,490,--,--,--,3500,350,980,0,940,0,0, 
 取得借款收到的现金(万元),145704,112870,140800,165000,197356,119593,60772,13000,40658,15000,7900,4500,3000,0, 
 发行债券收到的现金(万元),--,--,4972,--,--,--,--,--,--,--,0,0,0,0, 
 收到其他与筹资活动有关的现金(万元),28602,10145,526,--,4052,--,410,10728,3490,2119,0,0,0,0, 
 筹资活动现金流入小计(万元),198227,171158,146788,165490,257151,205793,61182,27228,52612,18099,58295,14498,3000,235, 
 偿还债务支付的现金(万元),166757,82450,132800,154000,189918,47803,37000,22000,30658,--,12400,1500,1500,0, 
 分配股利、利润或偿付利息所支付的现金(万元),10178,7845,7163,9419,9231,5557,5050,4971,4217,3637,405,114,27,30, 
 其中：子公司支付给少数股东的股利、利润(万元),1000,--,--,--,--,--,--,393,--,--,0,0,0,0, 
 支付其他与筹资活动有关的现金(万元),16834,13090,--,--,2581,6488,400,2000,105,--,0,0,0,0, 
 筹资活动现金流出小计(万元),193769,103385,139963,163419,201730,59848,42450,28971,34980,3637,12805,1614,1527,30, 
 筹资活动产生的现金流量净额(万元),4458,67773,6824,2071,55421,145945,18732,-1744,17632,14462,45490,12883,1473,205, 
 汇率变动对现金及现金等价物的影响(万元),10275,-3395,618,2,-500,-233,-128,247,-591,204,-28,-0,-8,0, 
 现金及现金等价物净增加额(万元),22576,30306,21107,-744,-41085,47340,-6039,-3397,-2393,-15020,29350,3773,290,7459, 
 加:期初现金及现金等价物余额(万元),71768,41463,20356,21100,62185,14845,20884,24239,26632,41652,12302,8529,8239,780, 
 期末现金及现金等价物余额(万元),94345,71768,41463,20356,21100,62185,14845,20841,24239,26632,41652,12302,8529,8239, 
 净利润(万元),13295,12536,12422,10054,10484,8967,13215,18338,13771,12725,12014,8059,2538,694, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,84, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 资产减值准备(万元),4380,1865,1674,1574,174,-1631,-2657,381,2524,3036,724,420,270,0, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),7394,9073,8529,7434,5990,4828,4457,3994,3352,2107,1595,1063,633,196, 
 无形资产摊销(万元),2425,2572,2541,2424,1926,981,730,609,350,199,116,33,20,4, 
