 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),130328,124055,217178,267201,281764,299601,284436,282500,250276,244065,309789, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1500,1212,1019,3022,3362,4296,3386,2432,3796,3236,5862, 
 收到的其他与经营活动有关的现金(万元),4606,9653,1731,1675,2908,1997,2756,848,522,850,1075, 
 经营活动现金流入小计(万元),136433,134920,219927,271898,288034,305894,290578,285780,254594,248150,316726, 
 购买商品、接受劳务支付的现金(万元),126644,101395,159914,207671,221912,280932,221103,262799,242635,191891,262246, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3964,2399,10098,10597,10203,9745,7907,6712,6003,5198,4271, 
 支付的各项税费(万元),718,3223,8499,8284,7411,9290,8118,11786,9386,12903,9281, 
 支付的其他与经营活动有关的现金(万元),14031,8888,15312,19999,15236,18214,8793,7116,6701,7342,9058, 
 经营活动现金流出小计(万元),145356,115904,193824,246551,254762,318181,245921,288413,264725,217335,284857, 
 经营活动产生的现金流量净额(万元),-8923,19016,26103,25347,33272,-12287,44657,-2634,-10131,30816,31869, 
 收回投资所收到的现金(万元),105030,32551,177233,197483,2125,6035,--,--,--,--,14, 
 取得投资收益所收到的现金(万元),863,190,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),11950,406,357,3795,170,128,1656,47,22,--,733, 
 处置子公司及其他营业单位收到的现金净额(万元),--,48360,44731,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,434,--,--,--,153,--,689,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),117844,81506,222321,201711,2295,6163,1656,200,22,689,747, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),8451,1967,20886,7466,6507,22925,39840,8559,12518,5453,15948, 
 投资所支付的现金(万元),105030,22551,159300,223660,960,8000,--,3576,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),37439,--,--,2246,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),19,--,--,--,--,--,490,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),150940,24517,180186,233372,7467,30925,40330,12135,12518,5453,15948, 
 投资活动产生的现金流量净额(万元),-33096,56989,42135,-31661,-5172,-24763,-38674,-11935,-12496,-4763,-15201, 
 吸收投资收到的现金(万元),--,--,--,750,52051,1095,--,81765,--,--,720, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,750,--,--,--,490,--,--,720, 
 取得借款收到的现金(万元),--,--,57050,78234,135160,123929,160928,147869,108631,109300,138450, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,247,--,--,--,--,1210,--,--,--, 
 筹资活动现金流入小计(万元),0,0,57297,78984,187211,125024,160928,230844,108631,109300,139170, 
 偿还债务支付的现金(万元),--,25000,40750,90437,150160,91133,212534,117856,94631,123800,146294, 
 分配股利、利润或偿付利息所支付的现金(万元),--,242,5176,8954,11278,10202,9082,7343,2234,4881,4615, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,139,3400,--,3118,--, 
 支付其他与筹资活动有关的现金(万元),--,--,318,1998,199,--,--,918,--,--,--, 
 筹资活动现金流出小计(万元),0,25242,46244,101389,161637,101335,221616,126117,96865,128681,150909, 
 筹资活动产生的现金流量净额(万元),0,-25242,11053,-22405,25574,23689,-60688,104727,11766,-19381,-11739, 
 汇率变动对现金及现金等价物的影响(万元),-322,-1375,1333,1418,-378,-246,772,554,-73,21,149, 
 现金及现金等价物净增加额(万元),-42341,49388,80624,-27302,53296,-13606,-53934,90712,-10933,6692,5077, 
 加:期初现金及现金等价物余额(万元),187785,138397,57773,85074,31778,45384,99318,8606,19539,12847,7770, 
 期末现金及现金等价物余额(万元),145444,187785,138397,57773,85074,31778,45384,99318,8606,19539,12847, 
 净利润(万元),918,8165,-64453,12853,11437,14932,12079,15052,19809,19397,16121, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),4916,-721,35890,554,847,1082,-12,824,454,539,3495, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),378,1790,8741,10472,10497,6736,6369,5238,4832,4051,3141, 
 无形资产摊销(万元),541,331,621,449,384,309,232,232,231,208,198, 
 长期待摊费用摊销(万元),139,--,--,113,317,44,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-6667,-194,-231,-1110,96,-32,-998,-15,7,-1,34, 
 固定资产报废损失(万元),--,4,--,--,--,--,--,--,--,--,456, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),322,1590,448,211,3698,2414,1474,3582,2307,1742,4466, 
 投资损失(万元),-863,-6960,30361,-877,-128,-35,--,--,--,--,-0, 
 递延所得税资产减少(万元),58,142,-812,-421,-751,226,-433,-178,319,259,-844, 
 递延所得税负债增加(万元),-267,114,186,--,--,--,--,--,--,--,--, 
 存货的减少(万元),10981,-10011,7261,19458,3305,-29433,7217,-4529,-6129,-646,2621, 
 经营性应收项目的减少(万元),-17,-1361,11781,53145,-40381,2386,-21666,4929,-22310,1117,-2644, 
 经营性应付项目的增加(万元),-19359,26126,-3437,-69443,43540,-11184,40394,-27767,-9650,4147,4825, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,-254,-59,413,267,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),-8923,19016,26103,25347,33272,-12287,44657,-2634,-10131,30816,31869, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),145444,187785,138397,57773,85074,31778,45384,99318,8606,19539,12847, 
 现金的期初余额(万元),187785,138397,57773,85074,31778,45384,99318,8606,19539,12847,7770, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-42341,49388,80624,-27302,53296,-13606,-53934,90712,-10933,6692,5077, 

