 报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),145026,78222,73491,13627,21780,40479,43454,32761,25336, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,0,3,80,245,757,167,--, 
 收到的其他与经营活动有关的现金(万元),7955,5207,1536,879,1559,2785,347,1408,3434, 
 经营活动现金流入小计(万元),152980,83430,75028,14510,23419,43509,44559,34336,28770, 
 购买商品、接受劳务支付的现金(万元),19664,8837,17948,6936,13941,26625,31199,24263,16051, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),10098,9187,8135,3247,3960,4247,3393,2244,1832, 
 支付的各项税费(万元),17294,10455,9552,1211,2257,2927,3204,2520,1017, 
 支付的其他与经营活动有关的现金(万元),57335,25299,20678,1379,1329,2257,2442,3986,3878, 
 经营活动现金流出小计(万元),104391,53778,56314,12772,21488,36055,40239,33014,22777, 
 经营活动产生的现金流量净额(万元),48589,29652,18714,1738,1932,7454,4320,1322,5993, 
 收回投资所收到的现金(万元),1149,--,10300,--,--,--,300,--,--, 
 取得投资收益所收到的现金(万元),7858,2707,0,460,--,--,90,30,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),59,16,44,33,4,0,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),848616,21886,36436,120,--,1495,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),857682,24608,46779,613,4,1496,390,30,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),31901,5622,6833,330,3687,1950,1294,531,7170, 
 投资所支付的现金(万元),6072,1200,8715,14300,--,--,--,--,300, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,1180,0,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),858200,195300,20500,--,--,--,--,31,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),896173,203302,36048,14630,3687,1950,1294,562,7470, 
