 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),68111,57791,45990,21526,8904, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),6880,2727,1884,903,111, 
 收到的其他与经营活动有关的现金(万元),1636,687,1171,1379,2538, 
 经营活动现金流入小计(万元),76628,61205,49045,23808,11553, 
 购买商品、接受劳务支付的现金(万元),29172,25159,29703,14515,5820, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),15586,10755,7502,3638,1689, 
 支付的各项税费(万元),8616,6484,5877,1168,408, 
 支付的其他与经营活动有关的现金(万元),10211,5722,5251,2387,2778, 
 经营活动现金流出小计(万元),63585,48120,48333,21708,10695, 
 经营活动产生的现金流量净额(万元),13043,13085,712,2100,858, 
 收回投资所收到的现金(万元),--,1950,6000,102,1491, 
 取得投资收益所收到的现金(万元),--,23,119,12,17, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),16,21,7,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,-2,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),16,1994,6127,112,1508, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2688,2579,2689,1490,2294, 
 投资所支付的现金(万元),--,1950,6000,73,1360, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),2688,4529,8689,1562,3654, 
 投资活动产生的现金流量净额(万元),-2673,-2535,-2562,-1451,-2146, 
 吸收投资收到的现金(万元),--,--,10000,530,380, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--, 
 取得借款收到的现金(万元),2490,1800,1200,1985,1100, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),1250,192,2,2729,--, 
 筹资活动现金流入小计(万元),3740,1992,11202,5244,1480, 
 偿还债务支付的现金(万元),2180,340,1660,1620,612, 
 分配股利、利润或偿付利息所支付的现金(万元),111,73,100,78,72, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),8719,164,2661,304,300, 
 筹资活动现金流出小计(万元),11010,577,4421,2002,984, 
 筹资活动产生的现金流量净额(万元),-7270,1415,6781,3242,496, 
 汇率变动对现金及现金等价物的影响(万元),956,-267,-42,58,12, 
 现金及现金等价物净增加额(万元),4057,11698,4889,3948,-779, 
 加:期初现金及现金等价物余额(万元),21033,9335,4446,498,1277, 
 期末现金及现金等价物余额(万元),25090,21033,9335,4446,498, 
 净利润(万元),21132,11548,8874,4673,1268, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),621,659,353,320,141, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),762,479,349,229,114, 
 无形资产摊销(万元),49,42,25,18,17, 
 长期待摊费用摊销(万元),95,121,69,43,18, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),6,21,5,0,--, 
 固定资产报废损失(万元),0,0,3,--,--, 
 公允价值变动损失(万元),--,--,--,0,-0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),-782,384,177,27,46, 
 投资损失(万元),--,-23,-119,-12,-17, 
 递延所得税资产减少(万元),-195,-170,-240,-169,-51, 
 递延所得税负债增加(万元),--,--,--,-0,0, 
 存货的减少(万元),-9870,-7017,-9377,-1678,-1588, 
 经营性应收项目的减少(万元),-3106,-398,-155,-6267,-2140, 
 经营性应付项目的增加(万元),4331,7438,749,4916,3052, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),--,--,--,--,--, 
 经营活动产生现金流量净额(万元),13043,13085,712,2100,858, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),25090,21033,9335,4446,498, 
 现金的期初余额(万元),21033,9335,4446,498,1277, 
 现金等价物的期末余额(万元),--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),4057,11698,4889,3948,-779, 

