 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31, 
 销售商品、提供劳务收到的现金(万元),115453,67853,52315,53980,60495,57386,51051,51143,49080,28802,23802,15291, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 收到的税费返还(万元),1488,1229,1050,1012,1319,2299,1103,1637,671,340,49,165, 
 收到的其他与经营活动有关的现金(万元),588,993,1046,1358,624,722,710,1378,365,480,3303,1898, 
 经营活动现金流入小计(万元),117529,70075,54410,56349,62439,60406,52863,54157,50117,29622,27153,17354, 
 购买商品、接受劳务支付的现金(万元),98419,58660,39525,36612,45663,47771,50652,45698,47847,26963,20097,13895, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,0,0, 
 支付给职工以及为职工支付的现金(万元),3833,2556,2455,3498,3470,3426,2971,1690,841,663,704,484, 
 支付的各项税费(万元),4733,2767,1153,1659,3039,1188,1121,2196,1722,770,1665,588, 
 支付的其他与经营活动有关的现金(万元),6002,6566,3810,4621,3219,3519,3553,4048,2972,4034,3134,1866, 
 经营活动现金流出小计(万元),112986,70549,46943,46390,55391,55904,58297,53633,53382,32431,25601,16833, 
