 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),30508,22320,19372,10470,7246, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),--,371,--,--,--, 
 收到的其他与经营活动有关的现金(万元),2771,1417,2047,912,644, 
 经营活动现金流入小计(万元),33279,24108,21419,11382,7889, 
 购买商品、接受劳务支付的现金(万元),18403,12928,19523,8111,9266, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),10315,8993,7061,3839,2643, 
 支付的各项税费(万元),3685,2774,1570,496,367, 
 支付的其他与经营活动有关的现金(万元),4888,4117,1999,1516,1681, 
 经营活动现金流出小计(万元),37292,28812,30153,13964,13956, 
 经营活动产生的现金流量净额(万元),-4013,-4704,-8734,-2581,-6067, 
 收回投资所收到的现金(万元),--,--,--,300,--, 
 取得投资收益所收到的现金(万元),51,--,173,26,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),33,0,1,--,14, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),83,0,174,326,14, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),369,765,525,391,410, 
 投资所支付的现金(万元),2000,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),2369,765,525,391,410, 
 投资活动产生的现金流量净额(万元),-2286,-765,-351,-66,-396, 
 吸收投资收到的现金(万元),--,225,20816,5039,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,225,325,--,--, 
 取得借款收到的现金(万元),15200,4769,--,2000,8480, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,180,--,--,--, 
 筹资活动现金流入小计(万元),15200,5174,20816,7039,8480, 
 偿还债务支付的现金(万元),4769,--,2000,2980,3480, 
 分配股利、利润或偿付利息所支付的现金(万元),459,155,489,1130,225, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,180,--,--,--, 
 筹资活动现金流出小计(万元),5228,335,2489,4110,3705, 
 筹资活动产生的现金流量净额(万元),9972,4839,18327,2929,4775, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--, 
 现金及现金等价物净增加额(万元),3674,-630,9241,282,-1688, 
 加:期初现金及现金等价物余额(万元),9292,9922,680,399,2087, 
 期末现金及现金等价物余额(万元),12965,9292,9922,680,399, 
 净利润(万元),10116,6581,3698,--,--, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),2538,2474,1366,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),303,234,145,--,--, 
 无形资产摊销(万元),172,166,158,--,--, 
 长期待摊费用摊销(万元),19,27,34,--,--, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-1,1,-0,--,--, 
 固定资产报废损失(万元),1,6,22,--,--, 
 公允价值变动损失(万元),--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),474,161,98,--,--, 
 投资损失(万元),-51,--,-173,--,--, 
 递延所得税资产减少(万元),18,-647,-204,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--, 
 存货的减少(万元),-4294,1627,-3407,--,--, 
 经营性应收项目的减少(万元),-19013,-17521,-23361,--,--, 
 经营性应付项目的增加(万元),5704,2187,12891,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),--,--,--,--,--, 
 经营活动产生现金流量净额(万元),-4013,-4704,-8734,--,--, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),12965,9292,9922,680,399, 
 现金的期初余额(万元),9292,9922,680,399,2087, 
 现金等价物的期末余额(万元),--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),3674,-630,9241,282,-1688, 

