 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),229318,203761,178843,161705,161276,151205,149219,135056,117481,99340, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),815,454,402,1111,400,523,431,429,448,225, 
 收到的其他与经营活动有关的现金(万元),5370,5037,8600,3656,2197,2251,2993,1743,2254,6788, 
 经营活动现金流入小计(万元),235504,209253,187845,166472,163872,153979,152644,137228,120182,106353, 
 购买商品、接受劳务支付的现金(万元),124260,103730,93616,80423,88850,91024,84160,74464,65738,49180, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),56368,46161,36620,32364,32631,30099,26170,21497,17777,17828, 
 支付的各项税费(万元),16234,16535,15949,15606,15831,14804,14804,13369,10926,8721, 
 支付的其他与经营活动有关的现金(万元),26315,20821,16782,19171,13822,13070,13131,10285,9937,12574, 
 经营活动现金流出小计(万元),223177,187246,162967,147564,151134,148997,138265,119616,104379,88304, 
 经营活动产生的现金流量净额(万元),12326,22006,24878,18908,12738,4982,14379,17613,15803,18049, 
 收回投资所收到的现金(万元),222191,23150,30,613,--,5000,--,--,--,--, 
 取得投资收益所收到的现金(万元),3836,745,385,1014,877,317,58,1,9,9, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),134,13041,13,15,20,2396,15,287,498,525, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,84, 
 收到的其他与投资活动有关的现金(万元),27,567,1755,81,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),226188,37502,2183,1723,896,7713,72,288,507,617, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),32824,24069,14955,3573,7059,16447,9943,13959,6867,2303, 
 投资所支付的现金(万元),209470,105180,10700,2910,0,15000,5707,--,29,13, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,16073,--,0,141,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,1000,3000,2,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),242294,130249,44728,6485,7059,31587,15650,13959,6897,2315, 
 投资活动产生的现金流量净额(万元),-16106,-92746,-42546,-4762,-6163,-23874,-15578,-13671,-6389,-1698, 
 吸收投资收到的现金(万元),98,109248,787,100,100,--,61115,--,--,5890, 
 其中：子公司吸收少数股东投资收到的现金(万元),98,2614,787,100,100,--,--,--,--,40, 
 取得借款收到的现金(万元),25930,45972,34620,26000,0,12800,14100,1300,23707,7694, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,0,403,--,--,--,--, 
 筹资活动现金流入小计(万元),26028,155220,35407,26100,100,13203,75215,1300,23707,13584, 
 偿还债务支付的现金(万元),28960,53379,11000,19800,--,--,27865,3121,15893,9555, 
 分配股利、利润或偿付利息所支付的现金(万元),9494,8260,7644,14407,7093,6446,6430,6835,17219,171, 
