 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),86419,66335,47000,38617,35896,29715,21189,13160,10783, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),6186,4240,2643,2361,2601,2172,2178,1116,941, 
 收到的其他与经营活动有关的现金(万元),1809,1770,611,787,423,636,497,5279,2505, 
 经营活动现金流入小计(万元),94414,72344,50254,41765,38919,32524,23864,19555,14229, 
 购买商品、接受劳务支付的现金(万元),49756,36118,25222,18036,22123,18863,14498,6487,8481, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),16638,15185,10076,7615,6865,4830,3028,1306,1167, 
 支付的各项税费(万元),3277,2457,2943,1867,1603,1619,1914,466,427, 
 支付的其他与经营活动有关的现金(万元),15131,11848,8124,6959,5812,4520,2058,3567,4389, 
 经营活动现金流出小计(万元),84802,65607,46365,34478,36402,29831,21497,11826,14465, 
 经营活动产生的现金流量净额(万元),9612,6737,3889,7287,2517,2693,2367,7729,-236, 
 收回投资所收到的现金(万元),52550,1320,--,1800,1200,--,300,132,--, 
 取得投资收益所收到的现金(万元),705,70,133,74,115,417,61,51,445, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),178,38,--,54,24,25,53,61,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,20,--,150,--,--, 
 收到的其他与投资活动有关的现金(万元),108,146,64,6735,3249,152,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),53541,1574,197,8664,4608,594,564,244,445, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5185,10752,9919,2106,2903,1713,4251,877,251, 
 投资所支付的现金(万元),64669,17420,630,--,1720,1550,--,394,366, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
