 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),292088,253915,186649,166191,131736,68871,59519,42470,40547,38984,27635,28402,22548, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),9021,7689,6798,6502,2816,3884,1006,1573,1148,688,248,145,470, 
 收到的其他与经营活动有关的现金(万元),19563,17550,17494,15623,8989,6236,5783,2596,1805,1394,444,1123,691, 
 经营活动现金流入小计(万元),320673,279154,210941,188317,143541,78991,66308,46640,43500,41067,28326,29670,23709, 
 购买商品、接受劳务支付的现金(万元),126596,101028,82087,64584,56583,38338,25713,25192,19251,19061,16708,19386,12080, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),74325,53844,39605,31260,18245,13590,8602,7572,5577,4712,3668,2114,1858, 
 支付的各项税费(万元),27203,20464,15966,13912,10316,6162,5399,5211,4402,3222,1996,737,1201, 
 支付的其他与经营活动有关的现金(万元),60533,54667,49561,43579,29521,22087,17509,12641,8572,7405,4908,3207,2612, 
 经营活动现金流出小计(万元),288657,230002,187219,153334,114665,80177,57222,50616,37802,34400,27280,25445,17751, 
 经营活动产生的现金流量净额(万元),32016,49152,23722,34983,28876,-1186,9085,-3976,5698,6667,1047,4225,5958, 
 收回投资所收到的现金(万元),--,--,--,1005,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,70,--,--,--,--,--,--,40,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),8,11,24,27,18,--,2,5,2,--,1,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,146,8,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),50,100,--,600,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),58,258,32,1703,18,0,2,5,2,0,42,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),19881,15107,14708,13233,14958,9238,8742,3088,1865,1370,1219,2091,2381, 
 投资所支付的现金(万元),2500,3500,--,1000,3000,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),3941,51123,7747,13605,--,--,309,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),26321,69730,22455,27838,17958,9238,9051,3088,1865,1370,1219,2091,2381, 
 投资活动产生的现金流量净额(万元),-26263,-69472,-22423,-26135,-17940,-9238,-9048,-3083,-1863,-1370,-1177,-2091,-2381, 
 吸收投资收到的现金(万元),1210,72847,3614,22411,2253,1899,--,52880,--,--,--,490,100, 
 其中：子公司吸收少数股东投资收到的现金(万元),1100,1800,1615,3167,588,775,--,--,--,--,--,490,100, 
 取得借款收到的现金(万元),3900,1815,51,720,200,200,200,3200,3200,5000,6500,3000,3650, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),99,1,1,535,--,--,89,200,333,199,157,39,100, 
 筹资活动现金流入小计(万元),5209,74663,3666,23666,2453,2099,289,56280,3533,5199,6657,3529,3850, 
 偿还债务支付的现金(万元),6035,51,211,829,200,200,200,3200,6500,3000,8000,2480,1170, 
 分配股利、利润或偿付利息所支付的现金(万元),3991,5315,3214,1532,2245,2975,11112,111,97,114,566,95,112, 
 其中：子公司支付给少数股东的股利、利润(万元),--,1944,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),1585,86,686,4641,100,--,--,959,--,--,5,4,21, 
 筹资活动现金流出小计(万元),11612,5452,4110,7002,2545,3175,11312,4270,6597,3114,8571,2579,1303, 
 筹资活动产生的现金流量净额(万元),-6403,69211,-444,16664,-92,-1075,-11023,52010,-3064,2085,-1914,950,2547, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-650,48891,854,25512,10844,-11500,-10986,44951,771,7381,-2045,3084,6124, 
 加:期初现金及现金等价物余额(万元),126777,77886,77031,51520,40676,52175,63162,18210,17439,10058,12102,9018,2894, 
 期末现金及现金等价物余额(万元),126127,126777,77886,77031,51520,40676,52175,63162,18210,17439,10058,12102,9018, 
 净利润(万元),48876,37484,27436,20862,14961,12212,10086,8192,7105,5252,4182,3094,2153, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),2129,1778,772,774,739,1137,497,438,141,278,54,43,-4, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),2389,1912,1344,1016,488,439,280,181,277,283,221,149,219, 
 无形资产摊销(万元),7479,8191,8042,4198,1562,370,278,719,655,527,159,146,--, 
 长期待摊费用摊销(万元),499,472,588,517,492,325,279,193,126,209,48,1,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),35,6,16,31,12,4,4,3,-3,--,--,--,--, 
 固定资产报废损失(万元),33,28,--,562,33,1,--,--,--,--,--,--,11, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),197,138,8,32,14,15,12,65,85,98,268,95,112, 
 投资损失(万元),-3644,-135,-327,-209,-3,--,-26,--,--,--,-40,--,--, 
 递延所得税资产减少(万元),104,150,105,-18,-1592,-217,-47,-175,-32,-68,-30,-36,--, 
 递延所得税负债增加(万元),-111,-68,-30,-17,-2,-1,-1,--,-71,-36,-1,159,--, 
 存货的减少(万元),-16107,-1959,-2767,-4315,-17014,-6569,-3292,-4438,3723,-98,754,-3276,-1727, 
 经营性应收项目的减少(万元),-39649,-9863,-13194,-2945,-4062,-15159,-8938,-3252,-2024,-2923,-4182,-493,-48, 
 经营性应付项目的增加(万元),30678,8516,791,14456,32313,5595,10055,-6002,-4322,3132,-396,4340,5219, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),-891,2500,938,39,932,661,-101,100,38,13,12,4,24, 
 经营活动产生现金流量净额(万元),32016,49152,23722,34983,28876,-1186,9085,-3976,5698,6667,1047,4225,5958, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--, 
