 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),6811296,11203294,5534295,4996140,--,2858379,--, 
 向中央银行借款净增加额(万元,4685000,--,--,119000,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),2474540,2141452,1944165,2284260,1963730,1575516,1449740, 
 拆入资金净增加额(万元),1253108,836951,1801695,64096,162000,--,1140760, 
 回购业务资金净增加额(万元),87530,--,2375351,180451,--,948276,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),12466,136656,21348,12650,35857,43853,58897, 
 经营活动现金流入小计(万元),15323939,14954696,14698432,8376387,9083514,5715373,9303615, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),6886795,3955827,3433564,2056046,2517300,2203639,2549555, 
 存放中央银行和同业款项净增加额(万元),178257,787728,880362,544970,--,827925,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),1473721,1177850,1002541,1035112,993153,645664,602041, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),317882,290541,254170,211177,193100,195813,145156, 
 支付的各项税费(万元),231469,197563,204621,172622,185701,208747,182923, 
 支付的其他与经营活动有关的现金(万元),195276,173062,144157,156661,127565,123809,134169, 
 经营活动现金流出小计(万元),14015198,8544293,6375121,4887769,8185695,7418603,4933392, 
 经营活动产生的现金流量净额(万元),1308742,6410403,8323310,3488618,897819,-1703231,4370224, 
 收回投资所收到的现金(万元),275274987,195347090,201944011,85209033,11771306,47036346,146967628, 
 取得投资收益所收到的现金(万元),1278902,1113923,713122,386704,254407,247258,212823, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),23,13,36,57,4631,2197,24, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),308936081,239313324,220986393,99199724,20962660,50866836,151704659, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),86432,21608,11972,15883,21889,33285,28357, 
 投资所支付的现金(万元),280277275,199544657,206552598,85759482,12548710,48282418,147093557, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,9254,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),306055622,246129370,234654504,107909178,25534512,52459355,152034215, 
 投资活动产生的现金流量净额(万元),2880458,-6816046,-13668110,-8709454,-4571852,-1592519,-329556, 
 吸收投资收到的现金(万元),--,997921,361071,--,183908,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),12892466,24620626,23974191,10197964,1770165,--,796480, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,198664,--,--, 
 筹资活动现金流入小计(万元),12892466,25618547,24335261,10197964,2152736,0,796480, 
 偿还债务支付的现金(万元),13900000,25942000,16609000,3555466,399320,99842,--, 
 分配股利、利润或偿付利息所支付的现金(万元),349974,194970,71400,221392,81024,86170,77702, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),14249974,26136970,16680400,3776857,480344,186012,77702, 
 筹资活动产生的现金流量净额(万元),-1357508,-518424,7654861,6421107,1672392,-186012,718778, 
 汇率变动对现金及现金等价物的影响(万元),20759,-16799,21424,-1244,-234,-4721,-1404, 
 现金及现金等价物净增加额(万元),2852451,-940866,2331486,1199027,-2001875,-3486482,4758042, 
 加:期初现金及现金等价物余额(万元),4553191,5494058,3162572,1963545,3965420,7451902,2693860, 
 期末现金及现金等价物余额(万元),7405643,4553191,5494058,3162572,1963545,3965420,7451902, 
 净利润(万元),541208,455037,398677,370521,351135,379886,355782, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),601002,452604,447855,310261,244634,102445,138610, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),18959,18969,18627,18325,18588,16301,11689, 
 无形资产摊销(万元),3844,3688,3439,3503,3319,2473,1628, 
 长期待摊费用摊销(万元),9430,8783,8424,9202,9464,6327,5203, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),52,23,4,-3,-26,-1042,-15, 
 固定资产报废损失(万元),--,--,--,--,--,--,--, 
 公允价值变动损失(万元),-425323,326843,-67757,-16075,-16796,14508,9108, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),-922010,-624038,-423638,-27824,-159379,-178272,45461, 
 投资损失(万元),--,--,--,--,--,--,-243824, 
 递延所得税资产减少(万元),-14518,-138766,-62038,-13835,-501,-20104,-39155, 
 递延所得税负债增加(万元),--,6464,25019,2976,-5342,4711,-2604, 
 存货的减少(万元),--,--,--,--,--,--,--, 
 经营性应收项目的减少(万元),-7865511,-4234538,-1301207,-2708124,-5278549,-3331244,-2916097, 
 经营性应付项目的增加(万元),9382367,10118536,9297331,5538447,5731037,1296060,7003032, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),1308742,6410403,8323310,3488618,897819,-1703231,4370224, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),7405643,4553191,5494058,3162572,1963545,3965420,76916, 
 现金的期初余额(万元),4553191,5494058,3162572,1963545,3965420,7451902,47737, 
