 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),68589,49538,70452,66213,41831,46603,51698, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),4213,3177,2055,1970,1025,779,1907, 
 经营活动现金流入小计(万元),72803,52716,72508,68182,42856,47381,53605, 
 购买商品、接受劳务支付的现金(万元),50277,53608,42929,36079,26523,29721,30704, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),15040,13166,10923,9518,7577,7052,5811, 
 支付的各项税费(万元),4990,3016,5209,5088,4036,4146,3194, 
 支付的其他与经营活动有关的现金(万元),11269,8865,6681,6262,5730,6179,11756, 
 经营活动现金流出小计(万元),81575,78654,65741,56948,43865,47099,51464, 
 经营活动产生的现金流量净额(万元),-8773,-25939,6767,11235,-1009,283,2141, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,--,0,0,--,3,6, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,0,0,0,0,3,6, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2001,3564,218,757,352,1334,12814, 
 投资所支付的现金(万元),--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),4325,--,--,0,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),6326,3564,218,757,352,1334,12814, 
 投资活动产生的现金流量净额(万元),-6325,-3564,-218,-757,-352,-1331,-12809, 
 吸收投资收到的现金(万元),--,18420,--,--,--,--,8719, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),35662,34192,13073,8384,12579,15699,8280, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),35662,52612,13073,8384,12579,15699,16999, 
 偿还债务支付的现金(万元),31577,14237,13657,14153,11573,7475,5300, 
 分配股利、利润或偿付利息所支付的现金(万元),1404,2191,810,1034,1167,4243,397, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,3311,--,--,--,--,--, 
 筹资活动现金流出小计(万元),32981,19739,14467,15186,12740,11718,5697, 
 筹资活动产生的现金流量净额(万元),2681,32873,-1394,-6803,-162,3981,11302, 
 汇率变动对现金及现金等价物的影响(万元),24,-37,47,39,-14,-4,--, 
 现金及现金等价物净增加额(万元),-12392,3333,5201,3715,-1537,2929,634, 
 加:期初现金及现金等价物余额(万元),20248,16914,11714,7999,9536,6607,5973, 
 期末现金及现金等价物余额(万元),7855,20248,16914,11714,7999,9536,6607, 
 净利润(万元),4274,3733,3700,3207,2629,2921,2027, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),511,411,87,579,-45,310,156, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),877,607,581,604,748,633,326, 
 无形资产摊销(万元),65,58,56,55,50,34,15, 
 长期待摊费用摊销(万元),689,494,655,967,825,417,203, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),0,0,-0,1,0,-1,-4, 
 固定资产报废损失(万元),--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),1538,654,804,981,1184,1064,404, 
 投资损失(万元),--,-26,--,--,--,--,--, 
