 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),1526126,1688731,1781715,1735319,1880533,1680015,1809251,1861991,1941181,1345001,1193561,1537709,1131498, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0, 
 收到的税费返还(万元),5394,5729,5037,10879,7772,9588,12142,14856,13596,14652,12467,6426,3317, 
 收到的其他与经营活动有关的现金(万元),34928,23775,31253,34689,33370,40474,53426,49939,39555,23354,15086,14703,13616, 
 经营活动现金流入小计(万元),1566448,1718235,1818005,1780887,1921676,1730077,1874818,1926786,1994332,1383007,1221114,1558838,1148430, 
 购买商品、接受劳务支付的现金(万元),1453392,1464707,1449153,1425276,1603404,1389682,1540558,1636862,1679246,970033,1098048,1323959,879225, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0, 
 支付给职工以及为职工支付的现金(万元),100473,133196,129706,128070,122846,135716,115516,109825,86067,62303,51773,46724,37507, 
 支付的各项税费(万元),12101,49695,50672,74738,88665,96128,103908,98384,73591,57683,68790,63989,48451, 
 支付的其他与经营活动有关的现金(万元),63704,120893,114197,115980,139595,160276,151145,143415,119440,76503,85428,86300,72765, 
 经营活动现金流出小计(万元),1629669,1768490,1743728,1744065,1954510,1781803,1911128,1988486,1958344,1166521,1304039,1520972,1037949, 
 经营活动产生的现金流量净额(万元),-63221,-50255,74277,36822,-32834,-51725,-36309,-61699,35988,216486,-82924,37865,110481, 
 收回投资所收到的现金(万元),664372,493925,93161,246368,256793,17727,15684,49219,36512,32356,34363,82955,46582, 
 取得投资收益所收到的现金(万元),33706,35979,31941,52020,41756,28344,46039,75883,26193,37023,55691,12219,3318, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),12415,181,7682,10484,1019,100024,372,39151,381,350,63,108,42, 
 处置子公司及其他营业单位收到的现金净额(万元),16,21773,2092,--,--,--,--,--,--,--,--,0,0, 
