 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),68509,87346,99185,80632,94558,72520,68041,68900, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1,--,--,--,--,--,134,--, 
 收到的其他与经营活动有关的现金(万元),1411,1023,1101,1623,1368,1070,736,759, 
 经营活动现金流入小计(万元),69921,88369,100286,82255,95926,73590,68910,69659, 
 购买商品、接受劳务支付的现金(万元),49820,65520,59347,50049,63169,50107,49251,42688, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),15488,15963,11858,11577,9418,8325,5436,5108, 
 支付的各项税费(万元),7818,6530,7864,6251,6580,5061,6273,6172, 
 支付的其他与经营活动有关的现金(万元),5886,5515,3933,2570,2819,3125,2861,2948, 
 经营活动现金流出小计(万元),79012,93527,83001,70447,81986,66618,63822,56916, 
 经营活动产生的现金流量净额(万元),-9091,-5159,17284,11808,13940,6972,5088,12743, 
 收回投资所收到的现金(万元),28012,52300,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),326,1143,680,--,2,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),6,90,1,9,11,3,0,1, 
