 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31, 
 销售商品、提供劳务收到的现金(万元),1298983,1154448,776386,569470,530079,424167,325492,279395,214672,92330,69482,51859,31260,18711, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 收到的税费返还(万元),5921,2135,1747,1186,9,161,--,--,101,61,3,--,--,--, 
 收到的其他与经营活动有关的现金(万元),67989,25358,30205,23322,15624,15109,13281,8859,3407,4778,4962,1106,4028,3403, 
 经营活动现金流入小计(万元),1372893,1181941,808338,593978,545713,439436,338773,288255,218181,97168,74448,52965,35288,22114, 
 购买商品、接受劳务支付的现金(万元),858019,882734,516654,366445,371505,304186,222873,236938,181534,74218,63431,34918,29093,14879, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),137916,103539,77870,55768,38061,31944,23070,20593,13516,6598,3133,1673,857,702, 
 支付的各项税费(万元),112726,78021,65269,51739,39957,24520,16750,14448,9758,4382,4517,3870,1229,854, 
 支付的其他与经营活动有关的现金(万元),162838,115253,89503,77894,61084,52426,37697,35067,32092,15933,14497,9549,3693,4664, 
 经营活动现金流出小计(万元),1271498,1179546,749296,551846,510607,413077,300390,307046,236901,101130,85579,50010,34873,21098, 
 经营活动产生的现金流量净额(万元),101395,2395,59042,42132,35106,26359,38383,-18791,-18720,-3962,-11132,2955,415,1016, 
 收回投资所收到的现金(万元),15000,--,883,--,--,--,--,--,--,0,--,3383,0,0, 
 取得投资收益所收到的现金(万元),--,--,--,300,450,300,--,--,--,0,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1899,230,551,183,49,176,37,161,112,46,15,19,16,0, 
 处置子公司及其他营业单位收到的现金净额(万元),55,16964,21390,--,--,--,--,--,--,0,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),1741,8022,1944,4098,3555,1837,484,1978,415,112,107,16,3,4, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 投资活动现金流入小计(万元),18695,25216,24767,4581,4054,2313,522,2139,527,158,121,3418,19,4, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),174277,110790,70778,62782,53529,36602,26105,18888,11508,8270,6329,2389,725,1383, 
 投资所支付的现金(万元),630,19332,2233,--,--,--,3300,--,--,0,1000,1534,11,100, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),2290,--,--,687,--,--,--,--,2570,0,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,15739,686,602,67,--,--,1590,--,340,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 投资活动现金流出小计(万元),177198,145862,73697,64071,53596,36602,29405,20478,14078,8610,7329,3922,736,1483, 
 投资活动产生的现金流量净额(万元),-158503,-120646,-48930,-59490,-49542,-34289,-28883,-18339,-13550,-8452,-7207,-505,-717,-1479, 
 吸收投资收到的现金(万元),105,20012,71105,--,126016,11144,--,--,45580,0,23262,477,0,1, 
 其中：子公司吸收少数股东投资收到的现金(万元),105,13100,--,--,--,--,--,--,--,0,--,--,--,--, 
 取得借款收到的现金(万元),392771,205266,183335,85045,139407,117333,117753,105523,100000,39250,13550,6400,2000,1800, 
 发行债券收到的现金(万元),--,182700,--,--,--,--,14940,--,--,0,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),133320,5411,358,2315,2179,940,311,459,--,0,--,--,--,--, 
 筹资活动现金流入小计(万元),526196,413389,254798,87360,267602,129417,133004,105982,145580,39250,36812,6877,2000,1801, 
 偿还债务支付的现金(万元),154099,180265,139332,78783,184834,108753,128023,100950,47800,19550,9300,3750,1150,1200, 
 分配股利、利润或偿付利息所支付的现金(万元),27064,22078,13887,11970,12661,13688,9744,10478,5409,2716,1116,299,120,132, 
 其中：子公司支付给少数股东的股利、利润(万元),--,1478,--,--,--,--,--,396,60,0,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),53882,6029,18598,10427,3380,2503,1985,141,532,2645,3022,954,177,221, 
 筹资活动现金流出小计(万元),235045,208372,171818,101180,200875,124944,139752,111568,53742,24911,13438,5003,1447,1553, 
 筹资活动产生的现金流量净额(万元),291150,205016,82980,-13821,66727,4473,-6748,-5587,91838,14339,23374,1874,553,247, 
 汇率变动对现金及现金等价物的影响(万元),-261,-898,873,424,6,-16,-1,-17,-6,2,-1,-3,-1,0, 
 现金及现金等价物净增加额(万元),233781,85867,93965,-30755,52296,-3473,2751,-42734,59562,1927,5034,4321,251,-216, 
 加:期初现金及现金等价物余额(万元),229351,143483,49519,80274,27977,31450,28699,71433,11871,9944,4910,589,339,555, 
 期末现金及现金等价物余额(万元),463132,229351,143483,49519,80274,27977,31450,28699,71433,11871,9944,4910,589,339, 
 净利润(万元),151093,124213,102632,72881,58257,37017,19130,10416,10713,7403,4530,3731,2890,1750, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 资产减值准备(万元),6244,13177,11849,6854,4456,3278,3055,1954,1721,533,1110,484,-12,65, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),24345,16362,13303,8868,7439,4777,3509,2627,2101,1061,777,594,474,477, 
 无形资产摊销(万元),2116,1391,1082,782,522,244,187,152,63,44,41,9,5,4, 
 长期待摊费用摊销(万元),1087,942,479,264,144,208,204,200,160,128,10,0,0,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-632,--,385,567,39,144,179,-26,43,-12,-10,-1,1,0, 
 固定资产报废损失(万元),628,758,--,--,--,--,--,--,--,0,--,0,0,0, 
 公允价值变动损失(万元),--,--,--,3,-7,--,--,--,--,0,--,0,0,0, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 财务费用(万元),19279,10335,4636,2668,5683,6410,6675,5552,3023,1126,761,578,294,280, 
 投资损失(万元),-282,--,-2315,-64,-395,-300,--,--,--,0,--,328,-66,-44, 
 递延所得税资产减少(万元),-5503,508,-6119,-95,-1219,-1169,-27,-722,-606,-24,-263,-51,4,-9, 
 递延所得税负债增加(万元),133,--,--,--,--,--,--,--,--,0,0,0,0,0, 
 存货的减少(万元),-66361,-76877,-48455,-1118,-13640,2863,3015,-13211,-17420,-13985,1559,-917,-5155,-3658, 
 经营性应收项目的减少(万元),-296300,-178676,-95413,-73321,-48808,-45374,-28546,-79644,-27692,-9839,-20199,-4563,-169,-3286, 
 经营性应付项目的增加(万元),266186,71990,70278,20687,17688,17365,32487,55077,11675,9602,554,2764,2150,5437, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,0,--,--,--,--, 
 其他(万元),-640,18272,6699,3153,4946,896,-1486,-1166,-2500,0,--,0,0,0, 
 经营活动产生现金流量净额(万元),101395,2395,59042,42132,35106,26359,38383,-18791,-18720,-3962,-11132,2955,415,1016, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0, 
 现金的期末余额(万元),463132,229351,143483,49519,80274,27977,31450,28699,71433,11871,9944,4910,589,339, 
 现金的期初余额(万元),229351,143483,49519,80274,27977,31450,28699,71433,11871,9944,4910,589,339,555, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0, 
 现金及现金等价物的净增加额(万元),233781,85867,93965,-30755,52296,-3473,2751,-42734,59562,1927,5034,4321,251,-216, 

