 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),29601,38106,40852,29806,22600,18274,15398, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,224,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1583,3080,1134,1740,827,2316,273, 
 经营活动现金流入小计(万元),31184,41186,42210,31546,23427,20589,15672, 
 购买商品、接受劳务支付的现金(万元),18604,20415,29051,15162,8696,6313,9494, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),8787,8332,8374,7776,6623,5068,5307, 
 支付的各项税费(万元),1274,1035,1721,1170,1161,901,1263, 
 支付的其他与经营活动有关的现金(万元),7105,4134,3420,1872,1650,1285,1892, 
 经营活动现金流出小计(万元),35769,33916,42567,25979,18130,13566,17957, 
 经营活动产生的现金流量净额(万元),-4585,7269,-357,5566,5297,7023,-2285, 
 收回投资所收到的现金(万元),20700,31100,20400,28450,29249,--,--, 
 取得投资收益所收到的现金(万元),188,162,82,144,266,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),41,8,50,19,47,12,13, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),20929,31270,20532,28614,29561,12,13, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),924,658,378,6852,7013,5004,2593, 
 投资所支付的现金(万元),20800,31100,16600,29300,32199,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),21724,31758,16978,36152,39212,5004,2593, 
 投资活动产生的现金流量净额(万元),-795,-487,3554,-7539,-9651,-4993,-2580, 
 吸收投资收到的现金(万元),--,15078,--,--,--,--,10000, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,4000,--,--,--,1000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,15078,4000,0,0,0,11000, 
 偿还债务支付的现金(万元),--,--,4000,--,--,--,1000, 
 分配股利、利润或偿付利息所支付的现金(万元),3000,--,5,--,1500,--,43, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),150,635,--,--,--,--,335, 
 筹资活动现金流出小计(万元),3150,635,4005,0,1500,0,1378, 
 筹资活动产生的现金流量净额(万元),-3150,14443,-5,0,-1500,0,9622, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-8530,21225,3192,-1972,-5854,2031,4756, 
 加:期初现金及现金等价物余额(万元),27702,6477,3285,5257,11111,9080,4324, 
 期末现金及现金等价物余额(万元),19171,27702,6477,3285,5257,11111,9080, 
 净利润(万元),2738,6375,4005,3809,3595,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),708,242,1432,146,73,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),760,900,1177,1149,960,--,--, 
 无形资产摊销(万元),311,295,422,546,451,--,--, 
 长期待摊费用摊销(万元),574,606,971,940,391,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-11,-8,5,4,7,--,--, 
 固定资产报废损失(万元),--,284,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),--,--,5,--,--,--,--, 
 投资损失(万元),-184,-162,-82,-145,-266,--,--, 
 递延所得税资产减少(万元),--,--,35,-26,-8,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--, 
 存货的减少(万元),231,-2017,932,-741,-1634,--,--, 
 经营性应收项目的减少(万元),-7143,-2934,-11226,-2181,2450,--,--, 
 经营性应付项目的增加(万元),-2569,3689,1969,2065,-722,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),-4585,7269,-357,5566,5297,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--, 
 现金的期末余额(万元),19171,27702,6477,3285,5257,11111,9080, 
 现金的期初余额(万元),27702,6477,3285,5257,11111,9080,4324, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-8530,21225,3192,-1972,-5854,2031,4756, 

