 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),29374,19766,7224,12243,18203,18120,21299,20804,24605,14724,17004, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),111,27,34,3,33,14,144,1,81,308,191, 
 收到的其他与经营活动有关的现金(万元),12675,853,637,1347,3060,2047,3746,2927,472,579,3388, 
 经营活动现金流入小计(万元),42159,20646,7895,13592,21296,20181,25190,23732,25157,15611,20583, 
 购买商品、接受劳务支付的现金(万元),7835,8285,3626,5141,8099,6882,8001,10353,9442,5705,6289, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6573,4756,2793,3145,2921,2869,2498,2375,2022,1576,1237, 
 支付的各项税费(万元),3363,1763,592,2238,2330,2939,2093,3267,2305,1810,2311, 
 支付的其他与经营活动有关的现金(万元),6431,2661,1672,1262,1047,861,2616,1232,1129,1040,2738, 
 经营活动现金流出小计(万元),24201,17464,8683,11786,14397,13551,15207,17227,14898,10131,12575, 
 经营活动产生的现金流量净额(万元),17959,3182,-789,1807,6898,6630,9982,6505,10259,5480,8007, 
 收回投资所收到的现金(万元),--,--,14800,--,--,--,--,--,62,--,46, 
 取得投资收益所收到的现金(万元),2463,1382,1868,1545,--,--,--,--,1,2,21, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,6,17,3,5,1,--,6,29,5,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,-11,--,273,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),7000,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),9463,1376,16685,1821,5,1,0,6,92,6,67, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),217,169,762,94,208,199,450,3361,8439,2312,2966, 
 投资所支付的现金(万元),--,--,--,14800,--,--,2280,--,--,--,46, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),123477,23219,--,--,--,--,--,--,80,--,--, 
 支付的其他与投资活动有关的现金(万元),2600,7000,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),126294,30389,762,14894,208,199,2730,3361,8519,2312,3012, 
 投资活动产生的现金流量净额(万元),-116831,-29013,15923,-13073,-204,-197,-2730,-3355,-8427,-2306,-2946, 
 吸收投资收到的现金(万元),59328,-180,200,--,--,--,--,57050,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),51000,-180,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),20000,5000,--,--,--,--,--,--,4450,2000,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),79328,4820,200,0,0,0,0,57050,4450,2000,0, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,--,6450,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),338,301,1370,1390,640,790,1540,504,1167,558,613, 
 其中：子公司支付给少数股东的股利、利润(万元),120,301,20,40,40,40,40,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,651,--,--,--, 
 筹资活动现金流出小计(万元),338,301,1370,1390,640,790,1540,1155,7617,558,613, 
 筹资活动产生的现金流量净额(万元),78991,4519,-1170,-1390,-640,-790,-1540,55895,-3167,1442,-613, 
 汇率变动对现金及现金等价物的影响(万元),-31,-238,819,852,-161,-249,199,-186,-398,51,24, 
 现金及现金等价物净增加额(万元),-19912,-21549,14784,-11804,5894,5394,5910,58859,-1733,4667,4472, 
 加:期初现金及现金等价物余额(万元),66235,87785,73001,84805,78911,73517,67607,8747,10480,5813,1341, 
 期末现金及现金等价物余额(万元),46323,66235,87785,73001,84805,78911,73517,67607,8747,10480,5813, 
 净利润(万元),3903,1789,959,5542,6091,5007,5815,8907,7138,5523,4277, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),466,540,1692,263,138,103,2278,29,-9,123,-54, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1157,1196,1349,1442,1541,1717,1782,1605,1467,1214,933, 
 无形资产摊销(万元),202,196,193,193,192,191,188,165,60,60,68, 
 长期待摊费用摊销(万元),109,--,--,--,--,--,2,4,10,11,11, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-0,2,5,-1,-5,--,--,-1,-3,-3,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,-18,-22,127, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),309,344,-810,-843,156,249,-199,186,453,-60,-22, 
 投资损失(万元),-2444,-1380,-1868,-1818,--,--,--,--,39,-2,-21, 
 递延所得税资产减少(万元),-217,-322,-254,330,-46,-16,-349,-7,70,-42,38, 
 递延所得税负债增加(万元),309,718,--,--,--,--,--,--,--,--,-22, 
 存货的减少(万元),117,-450,-2000,-792,-1066,-314,-1081,181,-1940,-499,-916, 
 经营性应收项目的减少(万元),-7707,-676,360,-305,-590,830,883,-977,1157,31,2793, 
 经营性应付项目的增加(万元),21754,1226,-415,-2206,488,-1137,662,-3586,1834,-853,230, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,566, 
 经营活动产生现金流量净额(万元),17959,3182,-789,1807,6898,6630,9982,6505,10259,5480,8007, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),46323,8225,87785,73001,84805,78911,73517,67607,8747,10480,5813, 
 现金的期初余额(万元),8225,37785,73001,84805,78911,73517,67607,8747,10480,5813,1341, 
 现金等价物的期末余额(万元),--,58010,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),58010,50000,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-19912,-21549,14784,-11804,5894,5394,5910,58859,-1733,4667,4472, 

