 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),354399,280172,88282,96588,96797,86618,66534,58172,35568,22176,16168, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1737,--,--,220,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),3522,3999,2990,3870,1785,1077,1004,457,218,113,25, 
 经营活动现金流入小计(万元),359658,284172,91272,100678,98582,87696,67538,58629,35786,22289,16193, 
 购买商品、接受劳务支付的现金(万元),141520,97748,23855,28193,28655,21479,24525,19538,16606,8999,7654, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),74133,59589,23951,26867,25605,20241,15770,12349,6511,4167,2709, 
 支付的各项税费(万元),27843,21741,14786,15352,17076,17433,10622,9043,5540,2959,2191, 
 支付的其他与经营活动有关的现金(万元),72461,67176,20925,18809,16309,10226,7814,7401,4842,2406,1541, 
 经营活动现金流出小计(万元),315957,246254,83517,89221,87646,69379,58731,48330,33498,18531,14094, 
 经营活动产生的现金流量净额(万元),43701,37918,7754,11457,10936,18316,8807,10298,2287,3758,2099, 
 收回投资所收到的现金(万元),133779,313000,127600,28221,--,--,--,--,26,--,16, 
 取得投资收益所收到的现金(万元),338,965,866,281,--,--,--,--,0,--,10, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,80,14,7,17,1,6,3,0,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),134117,314045,128479,28509,17,1,6,3,26,--,26, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),14847,12213,2327,2484,7508,4212,4292,2581,4334,2851,2412, 
 投资所支付的现金(万元),110697,247250,177127,60917,--,--,--,--,851,--,16, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),3682,437500,--,11988,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),156,69,103,35,2000,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),129382,697032,179556,75424,9508,4212,4292,2581,5185,2851,2427, 
 投资活动产生的现金流量净额(万元),4735,-382987,-51077,-46915,-9491,-4211,-4286,-2578,-5158,-2851,-2401, 
 吸收投资收到的现金(万元),52283,51507,--,--,67041,--,--,11262,--,1605,483, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,45846,--,--,--,--,--,--,--,--,483, 
 取得借款收到的现金(万元),44807,385434,6939,5583,--,--,--,1000,2000,--,300, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
