 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),347,--,358,391,351,383,386,669,3289, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),60,170,30,107,276,397,128,1410,712, 
 经营活动现金流入小计(万元),407,--,388,498,627,781,514,2080,4001, 
 购买商品、接受劳务支付的现金(万元),--,--,--,1,--,--,27,--,2002, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),199,--,228,376,410,226,268,562,559, 
 支付的各项税费(万元),31,--,26,30,35,38,25,37,32, 
 支付的其他与经营活动有关的现金(万元),68,294,219,174,207,515,221,2321,1064, 
 经营活动现金流出小计(万元),298,--,474,581,652,779,541,2920,3657, 
 经营活动产生的现金流量净额(万元),109,-27,-85,-82,-25,2,-26,-841,344, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,1169,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,23,--,10,359,56, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,0,1,--,--,--,6,244, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,--,0,1,23,0,10,1535,300, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1,--,1,2,2,1,2,5,21, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),1,--,1,2,2,1,2,5,21, 
 投资活动产生的现金流量净额(万元),-1,--,-1,-1,21,-1,8,1529,279, 
 吸收投资收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,26, 
 筹资活动现金流入小计(万元),0,--,0,0,0,0,0,0,26, 
 偿还债务支付的现金(万元),--,--,--,--,--,--,--,491,100, 
 分配股利、利润或偿付利息所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,15, 
 筹资活动现金流出小计(万元),0,--,0,0,0,0,0,491,115, 
 筹资活动产生的现金流量净额(万元),0,--,0,0,0,0,0,-491,-89, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),108,--,-86,-83,-4,1,-18,198,534, 
 加:期初现金及现金等价物余额(万元),82,--,200,283,287,345,363,165,309, 
 期末现金及现金等价物余额(万元),190,--,114,200,283,346,345,363,843, 
 净利润(万元),-5912,-5847,-5978,-5969,-5979,-6032,-6159,-4164,-6964, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),3,--,--,-0,-6,1,1,-1,363, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),266,267,273,297,358,380,452,459,728, 
 无形资产摊销(万元),13,13,13,13,13,13,16,22,31, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,2, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-55,0,-1,--,--,--,-2302,141, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,-193, 
 财务费用(万元),5679,5679,5679,5679,5679,5679,--,5683,5679, 
 投资损失(万元),--,--,--,--,-23,--,-10,-200,-125, 
 递延所得税资产减少(万元),--,--,--,--,--,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),0,3,0,1,7,0,2,308,282, 
 经营性应收项目的减少(万元),34,-40,-123,-12,-50,-35,-44,-334,-198, 
 经营性应付项目的增加(万元),27,-46,51,-91,-23,-3,5717,-314,598, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),109,-27,-85,-82,-25,2,-26,-841,344, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),190,82,114,200,342,346,345,363,843, 
 现金的期初余额(万元),82,114,200,283,346,345,363,165,309, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),108,-32,-86,-83,-4,1,-18,198,534, 

