 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31, 
 销售商品、提供劳务收到的现金(万元),89776,113039,93835,86436,49983,44890,41701,38990,31275, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),8162,9459,9692,6703,14151,5885,3298,2738,1204, 
 经营活动现金流入小计(万元),97938,122498,103527,93139,64134,50776,44999,41728,32479, 
 购买商品、接受劳务支付的现金(万元),18275,18063,38721,34813,9499,9547,49770,49458,10961, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),8535,9277,9169,9279,8102,8330,7371,5597,4177, 
 支付的各项税费(万元),13567,16149,11884,12433,8159,12700,7742,6942,4389, 
 支付的其他与经营活动有关的现金(万元),8439,10919,12176,7641,6367,29663,2235,3756,3676, 
 经营活动现金流出小计(万元),48817,54408,71949,64167,32128,60240,67119,65752,23203, 
 经营活动产生的现金流量净额(万元),49121,68090,31578,28972,32007,-9464,-22120,-24024,9276, 
 收回投资所收到的现金(万元),--,60,--,--,--,1185,4511,35768,2302, 
 取得投资收益所收到的现金(万元),3076,3057,246,189,2924,1534,275,61,73, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),388,45,18,1,624,115,41,441,53, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,3612,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),12397,19810,5200,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),15861,22971,5464,189,7160,2833,4827,36269,2428, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1405,1838,3420,4696,13705,8248,15179,16743,8741, 
 投资所支付的现金(万元),223,220,174,154,107,882,36544,36558,4034, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),75000,6417,19810,11200,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),76628,8475,23403,16050,13812,9131,51723,53301,12774, 
 投资活动产生的现金流量净额(万元),-60767,14496,-17939,-15861,-6651,-6297,-46895,-17032,-10347, 
 吸收投资收到的现金(万元),--,--,--,--,--,22405,--,4500,1100, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,4500,--, 
 取得借款收到的现金(万元),--,--,15000,1620,2250,26900,75818,30000,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),12,--,--,--,1710,--,--,--,--, 
 筹资活动现金流入小计(万元),12,0,15000,1620,3960,49305,75818,34500,1100, 
 偿还债务支付的现金(万元),10740,18119,12000,18,13950,33000,5000,30000,--, 
 分配股利、利润或偿付利息所支付的现金(万元),10714,8726,9490,9211,7237,1781,1517,2119,--, 
 其中：子公司支付给少数股东的股利、利润(万元),55,--,330,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,99,84,--,--,1500,--,--,--, 
 筹资活动现金流出小计(万元),21454,26944,21574,9229,21187,36281,6517,32119,0, 
 筹资活动产生的现金流量净额(万元),-21442,-26944,-6574,-7609,-17227,13024,69301,2381,1100, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-33088,55642,7065,5502,8129,-2738,286,-38676,29, 
 加:期初现金及现金等价物余额(万元),88718,33075,26010,20508,12379,15117,14831,54067,54039, 
 期末现金及现金等价物余额(万元),55630,88718,33075,26010,20508,12379,15117,15392,54067, 
 净利润(万元),31961,39124,28363,27109,29556,23212,12124,12993,9133, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),240,1024,934,1920,1144,202,83,227,1274, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),11292,11231,11167,11306,10947,10002,8630,7922,5066, 
 无形资产摊销(万元),1590,1824,1810,1811,1549,1388,1048,585,12, 
 长期待摊费用摊销(万元),127,127,127,127,110,--,--,118,3, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-57,81,134,10,-34,10,50,171,39, 
 固定资产报废损失(万元),9,1,72,5,14,521,--,136,--, 
 公允价值变动损失(万元),2262,-2009,37,-2843,-1837,606,-739,462,738, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,--,--,--,43,674,384,--,--, 
 投资损失(万元),-12484,-11273,-12399,-9294,-15045,-14459,-307,-32,-2795, 
 递延所得税资产减少(万元),-163,-48,-314,-142,-289,-3,32,-54,395, 
 递延所得税负债增加(万元),0,0,-22,-1,0,95,--,--,--, 
 存货的减少(万元),-1532,87871,-44660,-33702,-6181,-7864,-39229,-46137,-257, 
 经营性应收项目的减少(万元),10898,5570,-4881,-2360,5242,-332,1072,-2243,481, 
 经营性应付项目的增加(万元),4977,-65433,51211,35027,6787,-23518,-5268,1828,-4844, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,32, 
 经营活动产生现金流量净额(万元),49121,68090,31578,28972,32007,-9464,-22120,-24024,9276, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),55630,88718,33075,26010,20508,12379,15117,15392,54067, 
 现金的期初余额(万元),88718,33075,26010,20508,12379,15117,14831,54067,54039, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-33088,55642,7065,5502,8129,-2738,286,-38676,29, 

