 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),277093,255198,186770,138410,121691,109777, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),6377,4180,4375,3757,2293,1394, 
 经营活动现金流入小计(万元),283470,259378,191145,142166,123984,111171, 
 购买商品、接受劳务支付的现金(万元),161136,153544,110171,80942,72475,63017, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),33462,27251,20333,16188,13470,12979, 
 支付的各项税费(万元),21887,15224,11005,12828,9271,7731, 
 支付的其他与经营活动有关的现金(万元),30001,23752,19890,16128,11915,14732, 
 经营活动现金流出小计(万元),246487,219771,161399,126085,107131,98459, 
 经营活动产生的现金流量净额(万元),36983,39607,29746,16081,16853,12712, 
 收回投资所收到的现金(万元),312800,81300,--,--,200,--, 
 取得投资收益所收到的现金(万元),1974,684,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),161,27,8,60,136,58, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,84, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),314935,82011,8,60,336,143, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),37936,27519,13684,14922,12990,9275, 
 投资所支付的现金(万元),323602,144800,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),1419,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),362958,172319,13684,14922,12990,9275, 
 投资活动产生的现金流量净额(万元),-48023,-90308,-13676,-14862,-12654,-9132, 
 吸收投资收到的现金(万元),--,85780,--,--,15000,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,2000,--,--,6455,3900, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,87780,0,0,21455,3900, 
 偿还债务支付的现金(万元),--,2000,--,2355,6300,7750, 
 分配股利、利润或偿付利息所支付的现金(万元),9600,5059,3360,3811,1385,533, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--, 
