 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),708096,540454,450246,325299,306927,210183,215535,121533,114846,85482, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),20586,11631,3774,5577,8765,7546,3662,1265,369,588, 
 收到的其他与经营活动有关的现金(万元),7399,12863,6619,7716,8294,9154,13495,8951,2825,3190, 
 经营活动现金流入小计(万元),736081,564948,460639,338592,323986,226883,232693,131749,118040,89259, 
 购买商品、接受劳务支付的现金(万元),475900,337084,272379,180809,178189,92550,157485,73992,74522,51062, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),125745,104448,84960,74937,65637,49760,31346,20996,16425,15252, 
 支付的各项税费(万元),22802,12433,12136,9974,10898,7839,14212,7166,7056,5700, 
 支付的其他与经营活动有关的现金(万元),23721,21383,10940,15590,22314,21963,20865,6265,3331,1375, 
 经营活动现金流出小计(万元),648167,475348,380415,281310,277039,172111,223908,108419,101334,73389, 
 经营活动产生的现金流量净额(万元),87913,89600,80224,57282,46947,54772,8784,23330,16705,15871, 
 收回投资所收到的现金(万元),--,0,--,--,--,4500,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,0,--,--,194,42,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),329,113,89,625,5,7,--,--,157,2, 
 处置子公司及其他营业单位收到的现金净额(万元),--,0,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),120998,0,--,--,1342,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),121327,113,89,625,1541,4549,0,0,157,2, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),118430,53207,48863,86182,85111,44017,33484,23020,11780,21421, 
