 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),280398,276033,206907,286049,283657,319874,398650,355705,323119,231926, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2206,552,727,1015,1222,2778,2523,2081,1662,1660, 
 收到的其他与经营活动有关的现金(万元),16032,22899,3982,19463,9204,11308,9657,2909,16362,11503, 
 经营活动现金流入小计(万元),298636,299484,211615,306527,294082,333960,410830,360694,341143,245089, 
 购买商品、接受劳务支付的现金(万元),159594,158442,81592,125104,160311,194580,238282,220894,222700,134758, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),53014,47634,39022,47932,40380,42632,38805,28860,19251,9802, 
 支付的各项税费(万元),23136,21797,24017,26561,32511,24465,36199,32138,19302,11299, 
 支付的其他与经营活动有关的现金(万元),65980,61662,47023,57010,48808,41422,37843,40430,48386,40629, 
 经营活动现金流出小计(万元),301724,289535,191653,256607,282009,303099,351128,322323,309640,196488, 
 经营活动产生的现金流量净额(万元),-3088,9948,19962,49921,12073,30861,59702,38372,31503,48601, 
 收回投资所收到的现金(万元),150197,277384,174920,27250,42000,--,--,59000,--,200, 
 取得投资收益所收到的现金(万元),4544,9798,13147,9847,8201,1231,8,102,8,13, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),266,211,615,2852,23,9,31,3,3858,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,1000, 
 收到的其他与投资活动有关的现金(万元),--,--,1167,900,--,15000,--,1629,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),155006,287393,189849,40849,50224,16239,39,60733,3866,1214, 
