 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),127410,104843,87625,72922,70421,60493, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),6941,3006,3169,3869,3735,3519, 
 收到的其他与经营活动有关的现金(万元),1493,634,871,317,223,372, 
 经营活动现金流入小计(万元),135844,108483,91665,77108,74379,64384, 
 购买商品、接受劳务支付的现金(万元),108412,79482,62765,55948,55323,44441, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),18414,17760,16140,13501,12518,11881, 
 支付的各项税费(万元),1326,1309,1958,921,499,612, 
 支付的其他与经营活动有关的现金(万元),7809,6022,5582,4697,3495,5748, 
 经营活动现金流出小计(万元),135960,104573,86445,75067,71836,62682, 
 经营活动产生的现金流量净额(万元),-116,3910,5220,2041,2543,1702, 
 收回投资所收到的现金(万元),58480,20500,24640,36360,13110,--, 
 取得投资收益所收到的现金(万元),681,105,94,193,29,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),162,7,4,--,78,17, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),59322,20612,24738,36553,13217,17, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),15128,13883,5081,897,704,1220, 
 投资所支付的现金(万元),41294,41500,20339,36700,14210,3000, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),56422,55383,25420,37597,14914,4220, 
 投资活动产生的现金流量净额(万元),2900,-34771,-682,-1044,-1697,-4203, 
 吸收投资收到的现金(万元),7,26714,--,37,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),7,--,--,--,--,--, 
 取得借款收到的现金(万元),13581,12712,4221,31327,2103,1584, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),7187,625,10946,2239,150,650, 
 筹资活动现金流入小计(万元),20774,40051,15167,33603,2253,2234, 
 偿还债务支付的现金(万元),5167,201,15317,18773,1967,1117, 
 分配股利、利润或偿付利息所支付的现金(万元),793,419,924,760,28,608, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),8929,8558,625,10946,1639,--, 
 筹资活动现金流出小计(万元),14889,9178,16866,30479,3634,1726, 
 筹资活动产生的现金流量净额(万元),5885,30872,-1700,3124,-1381,509, 
 汇率变动对现金及现金等价物的影响(万元),283,-9,869,1285,116,-227, 
 现金及现金等价物净增加额(万元),8952,2,3708,5405,-419,-2219, 
 加:期初现金及现金等价物余额(万元),12093,12091,8383,2978,3397,5617, 
 期末现金及现金等价物余额(万元),21044,12093,12091,8383,2978,3397, 
 净利润(万元),7747,5751,6003,4649,2321,--, 
 少数股东损益(万元),--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--, 
 资产减值准备(万元),552,1260,358,196,151,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1313,755,587,589,628,--, 
 无形资产摊销(万元),154,102,24,107,96,--, 
 长期待摊费用摊销(万元),337,307,278,245,234,--, 
 待摊费用的减少(万元),--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-8,-1,39,11,-3,--, 
 固定资产报废损失(万元),2,8,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,-161,-159,-219,--, 
 预计负债(万元),--,--,--,--,--,--, 
 财务费用(万元),-427,1285,-718,-952,-87,--, 
 投资损失(万元),-682,-105,-94,-193,-29,--, 
 递延所得税资产减少(万元),1,-133,-51,-28,-15,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--, 
 存货的减少(万元),-8301,-5273,-2092,-36,-602,--, 
 经营性应收项目的减少(万元),2107,-18998,-3779,-4933,-942,--, 
 经营性应付项目的增加(万元),-2754,18951,4720,2437,903,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--, 
 其他(万元),-159,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),-116,3910,5220,2041,2543,--, 
 债务转为资本(万元),--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--, 
 现金的期末余额(万元),21044,12093,12091,8383,2978,3397, 
 现金的期初余额(万元),12093,12091,8383,2978,3397,5617, 
 现金等价物的期末余额(万元),--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),8952,2,3708,5405,-419,-2219, 

