 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),50849,45075,25312,38650,25923, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),342,1015,181,2,26, 
 收到的其他与经营活动有关的现金(万元),779,750,412,288,67, 
 经营活动现金流入小计(万元),51970,46839,25905,38940,26016, 
 购买商品、接受劳务支付的现金(万元),21551,22721,14969,20920,14834, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),9311,7333,5396,3279,2500, 
 支付的各项税费(万元),3941,3585,1990,3197,2124, 
 支付的其他与经营活动有关的现金(万元),4047,3974,2918,1944,1935, 
 经营活动现金流出小计(万元),38849,37613,25274,29341,21393, 
 经营活动产生的现金流量净额(万元),13121,9227,631,9600,4624, 
 收回投资所收到的现金(万元),--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),11,105,1,3,18, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),143,26,--,--,22, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),154,131,1,3,39, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5841,3295,5404,1937,1383, 
 投资所支付的现金(万元),--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,500,--,--, 
 支付的其他与投资活动有关的现金(万元),360,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),6202,3295,5904,1937,1383, 
 投资活动产生的现金流量净额(万元),-6047,-3164,-5904,-1934,-1343, 
 吸收投资收到的现金(万元),--,10000,--,3810,2150, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,310,--, 
 取得借款收到的现金(万元),2000,2000,8000,5000,--, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,2540,198,1410, 
 筹资活动现金流入小计(万元),2000,12000,10540,9008,3560, 
 偿还债务支付的现金(万元),2000,8000,7000,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),13,4564,5620,5472,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),50,200,157,583,3808, 
 筹资活动现金流出小计(万元),2063,12764,12776,6054,3808, 
 筹资活动产生的现金流量净额(万元),-63,-764,-2237,2954,-248, 
 汇率变动对现金及现金等价物的影响(万元),100,-422,465,268,19, 
 现金及现金等价物净增加额(万元),7111,4877,-7044,10887,3051, 
 加:期初现金及现金等价物余额(万元),12434,7557,14600,3713,662, 
 期末现金及现金等价物余额(万元),19545,12434,7557,14600,3713, 
 净利润(万元),12601,9893,6642,6353,8107, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),646,267,280,-54,527, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1208,954,522,330,216, 
 无形资产摊销(万元),51,42,40,38,18, 
 长期待摊费用摊销(万元),63,14,3,--,--, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-20,40,4,15, 
 固定资产报废损失(万元),5,0,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),-88,541,-371,-248,-19, 
 投资损失(万元),217,--,--,--,--, 
 递延所得税资产减少(万元),-101,-54,-19,-4,-75, 
 递延所得税负债增加(万元),--,--,--,--,--, 
 存货的减少(万元),632,-984,-1715,112,196, 
 经营性应收项目的减少(万元),-2766,-1847,-9001,4585,-8457, 
 经营性应付项目的增加(万元),652,-401,4030,-1516,4095, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),--,822,181,--,--, 
 经营活动产生现金流量净额(万元),13121,9227,631,9600,4624, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),19545,12434,7557,14600,3713, 
 现金的期初余额(万元),12434,7557,14600,3713,662, 
 现金等价物的期末余额(万元),--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),7111,4877,-7044,10887,3051, 

