 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),41236,32884,30491,22670,19190, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1500,2004,4472,8991,4703, 
 经营活动现金流入小计(万元),42736,34888,34963,31662,23894, 
 购买商品、接受劳务支付的现金(万元),8446,6307,8097,7756,5260, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),16382,13643,10030,8368,7290, 
 支付的各项税费(万元),4011,3013,1876,1800,1170, 
 支付的其他与经营活动有关的现金(万元),4460,3415,3757,2926,3575, 
 经营活动现金流出小计(万元),33299,26378,23760,20849,17295, 
 经营活动产生的现金流量净额(万元),9437,8510,11203,10813,6599, 
 收回投资所收到的现金(万元),--,14650,2730,15832,8666, 
 取得投资收益所收到的现金(万元),320,259,457,1324,1611, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),28,12,20,4,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,4757,2190,1504,--, 
 收到的其他与投资活动有关的现金(万元),--,30,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),348,19709,5396,18664,10278, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),547,703,695,313,370, 
 投资所支付的现金(万元),200,--,14000,15773,13775, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,3088,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),747,703,17782,16086,14144, 
 投资活动产生的现金流量净额(万元),-399,19006,-12386,2578,-3866, 
 吸收投资收到的现金(万元),--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,393,237,700, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,0,393,237,700, 
 偿还债务支付的现金(万元),--,3454,1465,1535,835, 
 分配股利、利润或偿付利息所支付的现金(万元),--,5079,11426,331,396, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--, 
 筹资活动现金流出小计(万元),0,8533,12891,1866,1231, 
 筹资活动产生的现金流量净额(万元),0,-8533,-12498,-1630,-531, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--, 
 现金及现金等价物净增加额(万元),9038,18984,-13681,11761,2201, 
 加:期初现金及现金等价物余额(万元),20974,1990,15671,3910,1709, 
 期末现金及现金等价物余额(万元),30012,20974,1990,15671,3910, 
 净利润(万元),10052,7222,4817,6410,-354, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),989,-120,-615,665,4432, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),584,555,563,558,648, 
 无形资产摊销(万元),103,85,73,73,39, 
 长期待摊费用摊销(万元),134,72,53,213,252, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-27,20,-8,50,9, 
 固定资产报废损失(万元),--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,-17,25, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),--,79,233,331,396, 
 投资损失(万元),-320,-305,-466,-3337,-1691, 
 递延所得税资产减少(万元),-184,-399,512,-361,-356, 
 递延所得税负债增加(万元),--,--,--,-1,1, 
 存货的减少(万元),--,--,--,--,--, 
 经营性应收项目的减少(万元),-5731,-6025,1882,5406,48, 
 经营性应付项目的增加(万元),3837,7327,4158,823,3149, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),--,--,--,--,--, 
 经营活动产生现金流量净额(万元),9437,8510,11203,10813,6599, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),30012,20974,1990,15671,3910, 
 现金的期初余额(万元),20974,1990,15671,3910,1709, 
 现金等价物的期末余额(万元),--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),9038,18984,-13681,11761,2201, 

