 报告日期,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),229188,142315,91849,68902, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--, 
 收到的税费返还(万元),46,45,43,37, 
 收到的其他与经营活动有关的现金(万元),1427,3675,386,962, 
 经营活动现金流入小计(万元),230661,146034,92277,69900, 
 购买商品、接受劳务支付的现金(万元),16686,12349,9791,10425, 
 客户贷款及垫款净增加额(万元),--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),17604,10937,4907,2864, 
 支付的各项税费(万元),38992,23299,13892,8524, 
 支付的其他与经营活动有关的现金(万元),133137,87065,58159,43621, 
 经营活动现金流出小计(万元),206420,133651,86749,65434, 
 经营活动产生的现金流量净额(万元),24241,12383,5528,4466, 
 收回投资所收到的现金(万元),--,1165,6487,6022, 
 取得投资收益所收到的现金(万元),--,--,1,1, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),49,45,11,18, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),103,413,--,453, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--, 
 投资活动现金流入小计(万元),152,1622,6499,6493, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),13497,5520,4019,3266, 
 投资所支付的现金(万元),--,2108,6989,5171, 
 质押贷款净增加额(万元),--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),658,1785,--,--, 
 支付的其他与投资活动有关的现金(万元),931,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--, 
 投资活动现金流出小计(万元),15086,9413,11007,8437, 
 投资活动产生的现金流量净额(万元),-14934,-7791,-4509,-1944, 
 吸收投资收到的现金(万元),--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--, 
 取得借款收到的现金(万元),11000,14000,2913,4724, 
 发行债券收到的现金(万元),--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--, 
 筹资活动现金流入小计(万元),11000,14000,2913,4724, 
 偿还债务支付的现金(万元),10000,9614,4354,6316, 
 分配股利、利润或偿付利息所支付的现金(万元),3309,505,167,108, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),611,150,--,--, 
 筹资活动现金流出小计(万元),13920,10269,4521,6424, 
 筹资活动产生的现金流量净额(万元),-2920,3731,-1608,-1700, 
 汇率变动对现金及现金等价物的影响(万元),-0,-0,-1,--, 
 现金及现金等价物净增加额(万元),6387,8324,-589,822, 
 加:期初现金及现金等价物余额(万元),12331,4007,4596,3775, 
 期末现金及现金等价物余额(万元),18717,12331,4007,4596, 
 净利润(万元),24206,15144,9326,--, 
 少数股东损益(万元),--,24,109,--, 
 未确认的投资损失(万元),--,--,--,--, 
 资产减值准备(万元),135,273,330,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),2211,1708,1404,--, 
 无形资产摊销(万元),46,29,29,--, 
 长期待摊费用摊销(万元),--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--, 
 预提费用的增加(万元),--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),132,6,23,--, 
 固定资产报废损失(万元),--,--,--,--, 
 公允价值变动损失(万元),--,-15,11,--, 
 递延收益增加(减：减少)(万元),--,--,--,--, 
 预计负债(万元),--,--,--,--, 
 财务费用(万元),790,522,167,--, 
 投资损失(万元),--,69,81,--, 
 递延所得税资产减少(万元),-124,-115,-71,--, 
 递延所得税负债增加(万元),--,--,--,--, 
 存货的减少(万元),-2871,1041,-2372,--, 
 经营性应收项目的减少(万元),-9251,-9603,-4254,--, 
 经营性应付项目的增加(万元),8979,3299,746,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--, 
 其他(万元),-11,--,--,--, 
 经营活动产生现金流量净额(万元),24241,12383,5528,--, 
 债务转为资本(万元),--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--, 
 现金的期末余额(万元),18717,12331,4007,4596, 
 现金的期初余额(万元),12331,4007,4596,3775, 
 现金等价物的期末余额(万元),--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--, 
 现金及现金等价物的净增加额(万元),6387,8324,-589,822, 

