 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31, 
 销售商品、提供劳务收到的现金(万元),1038698,426800,284326,206247,184321,169559,140551,125736,97990,61561,55549,35306,24499,18568, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 收到的税费返还(万元),1643,1094,634,657,24,93,--,--,3,--,2,0,0,0, 
 收到的其他与经营活动有关的现金(万元),18297,12981,7837,6811,6171,4914,4343,7203,4292,2285,1962,1334,1823,1410, 
 经营活动现金流入小计(万元),1058639,440875,292798,213715,190516,174566,144895,132939,102286,63846,57514,36640,26322,19978, 
 购买商品、接受劳务支付的现金(万元),833532,372417,176302,130588,92078,97586,87924,93896,73071,46569,42177,24511,17348,15735, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 支付给职工以及为职工支付的现金(万元),82625,45175,38440,35854,35141,33862,27413,21149,16427,9986,6455,4537,2575,1695, 
 支付的各项税费(万元),45358,21298,17766,19151,17717,16769,12226,9971,5415,4330,3460,1914,1224,981, 
 支付的其他与经营活动有关的现金(万元),41319,29488,21165,12091,13591,13916,11768,9641,8132,5404,3761,3383,2463,1710, 
 经营活动现金流出小计(万元),1002834,468379,253672,197684,158527,162133,139331,134657,103045,66290,55853,34344,23609,20121, 
 经营活动产生的现金流量净额(万元),55805,-27504,39125,16031,31989,12433,5564,-1718,-759,-2443,1661,2296,2712,-143, 
 收回投资所收到的现金(万元),60,137,4835,--,--,--,103,--,--,--,--,2153,0,0, 
 取得投资收益所收到的现金(万元),--,170,349,166,--,--,--,--,--,--,--,0,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1142,419,7010,842,260,2098,53,66,50,102,8,0,3,0, 
 处置子公司及其他营业单位收到的现金净额(万元),2106,309,850,--,--,722,--,--,--,270,--,0,0,0, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,90,--,--,67,1185,--,89,417,166,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 投资活动现金流入小计(万元),3308,1035,13044,1007,350,2820,156,133,1235,372,97,2570,169,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),27393,13690,10810,24879,16931,14347,16555,14947,19326,19095,10695,3418,5170,1523, 
 投资所支付的现金(万元),1222,--,11800,2230,6215,1932,3375,322,294,--,--,0,297,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,8420,79,2665,1417,--,--,--,1813,2332,1067,0,0, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,0,4,0,67,--,0,--,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 投资活动现金流出小计(万元),28615,13690,31029,27188,25811,17701,19930,15336,19620,20908,13027,4485,5467,1523, 
 投资活动产生的现金流量净额(万元),-25307,-12655,-17985,-26180,-25461,-14880,-19774,-15203,-18384,-20536,-12929,-1915,-5299,-1523, 
 吸收投资收到的现金(万元),6999,60597,225,44285,90,210,--,--,33309,750,23959,679,1951,1093, 
 其中：子公司吸收少数股东投资收到的现金(万元),6999,6842,225,1085,90,210,--,--,750,750,--,679,919,554, 
 取得借款收到的现金(万元),270512,156318,77389,73831,63088,53648,56340,57620,51343,58715,18047,24567,21047,8105, 
 发行债券收到的现金(万元),--,--,--,--,--,--,29550,--,--,--,--,0,0,0, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,3139,7448,4290,426,640,0,166, 
 筹资活动现金流入小计(万元),277512,216915,77614,118116,63178,53858,85890,60759,92101,63755,42432,25886,22998,9365, 
 偿还债务支付的现金(万元),220910,159678,87849,85183,57646,60585,58520,42070,52840,27885,16184,23914,15554,6279, 
 分配股利、利润或偿付利息所支付的现金(万元),17622,11927,9073,8976,7903,9036,7838,4577,4055,3727,1306,984,1465,291, 
 其中：子公司支付给少数股东的股利、利润(万元),1551,1336,--,450,450,--,207,207,--,12,--,0,0,0, 
 支付其他与筹资活动有关的现金(万元),63489,22,38,936,401,--,43,87,8687,6342,1197,1556,1093,13, 
 筹资活动现金流出小计(万元),302022,171627,96960,95095,65949,69621,66402,46734,65582,37954,18687,26453,18113,6582, 
 筹资活动产生的现金流量净额(万元),-24510,45288,-19346,23021,-2771,-15763,19488,14025,26519,25801,23745,-567,4885,2783, 
 汇率变动对现金及现金等价物的影响(万元),-421,-137,28,143,10,-57,-15,-18,-3,-4,-22,-5,-3,-2, 
 现金及现金等价物净增加额(万元),5567,4991,1822,13015,3767,-18268,5263,-2914,7372,2818,12455,-190,2297,1115, 
 加:期初现金及现金等价物余额(万元),46320,30722,28900,15885,12118,30385,25122,26306,18934,16117,3662,3852,1548,433, 
 期末现金及现金等价物余额(万元),51887,35713,30722,28900,15885,12118,30385,23392,26306,18934,16117,3662,3844,1548, 
 净利润(万元),28537,20088,12494,12315,13189,10199,6541,7631,7264,6709,5737,3924,2013,1234, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
 资产减值准备(万元),7518,2637,1700,460,-47,-1122,709,442,1168,573,-3,86,58,167, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),17927,10215,9721,8494,7807,6917,5731,4854,3667,2356,1674,1273,682,468, 
 无形资产摊销(万元),1375,782,671,436,358,333,250,203,175,102,82,25,23,12, 
 长期待摊费用摊销(万元),409,221,126,61,43,56,71,141,126,14,3,0,29,0, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0, 
