 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),45178,48041,55981,39813,40953, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),3046,2088,1820,1142,--, 
 收到的其他与经营活动有关的现金(万元),6250,2042,1092,1731,1219, 
 经营活动现金流入小计(万元),54474,52172,58893,42687,42172, 
 购买商品、接受劳务支付的现金(万元),6730,8819,22673,15118,10754, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),15623,18052,15154,10576,8675, 
 支付的各项税费(万元),7888,9349,6790,4832,3211, 
 支付的其他与经营活动有关的现金(万元),7614,8457,7739,5054,3854, 
 经营活动现金流出小计(万元),37855,44677,52357,35580,26494, 
 经营活动产生的现金流量净额(万元),16619,7495,6536,7107,15678, 
 收回投资所收到的现金(万元),5300,--,--,--,--, 
 取得投资收益所收到的现金(万元),19,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),8,4989,54,95,32, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),5327,4989,54,95,32, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1541,9275,7091,8861,1749, 
 投资所支付的现金(万元),5300,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),6841,9275,7091,8861,1749, 
 投资活动产生的现金流量净额(万元),-1514,-4285,-7037,-8767,-1717, 
 吸收投资收到的现金(万元),--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--, 
 取得借款收到的现金(万元),--,9892,16842,16000,10709, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,9892,16842,16213,11444, 
 偿还债务支付的现金(万元),9332,9604,15750,11631,20392, 
 分配股利、利润或偿付利息所支付的现金(万元),326,2125,743,374,481, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),181,837,--,--,--, 
 筹资活动现金流出小计(万元),9839,13153,16852,15833,25113, 
 筹资活动产生的现金流量净额(万元),-9839,-3261,-10,380,-13669, 
 汇率变动对现金及现金等价物的影响(万元),23,1,-26,61,259, 
 现金及现金等价物净增加额(万元),5289,-50,-538,-1219,552, 
 加:期初现金及现金等价物余额(万元),2245,2295,2833,4052,3500, 
 期末现金及现金等价物余额(万元),7534,2245,2295,2833,4052, 
 净利润(万元),12155,12434,--,--,--, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),269,-21,--,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),3567,3357,--,--,--, 
 无形资产摊销(万元),364,302,--,--,--, 
 长期待摊费用摊销(万元),139,115,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),58,-616,--,--,--, 
 固定资产报废损失(万元),--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--, 
 递延收益增加(减：减少)(万元),3517,354,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),291,472,--,--,--, 
 投资损失(万元),-19,--,--,--,--, 
 递延所得税资产减少(万元),-619,254,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--, 
 存货的减少(万元),7081,-2302,--,--,--, 
 经营性应收项目的减少(万元),-5411,-5671,--,--,--, 
 经营性应付项目的增加(万元),-5189,-1257,--,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),--,--,--,--,--, 
 经营活动产生现金流量净额(万元),16619,7495,--,--,--, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),7534,2245,2295,2833,4052, 
 现金的期初余额(万元),2245,2295,2833,4052,3500, 
 现金等价物的期末余额(万元),--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),5289,-50,-538,-1219,552, 

