 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),313314,293963,266360,259575,245488,289036,276051,254617,183207,158840,152112, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,0,0,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,0,0,0, 
 收到的其他与经营活动有关的现金(万元),7215,4094,6224,5063,12144,10843,11103,6326,5109,11381,14915, 
 经营活动现金流入小计(万元),320528,298058,272584,264638,257632,299879,287154,260943,188316,170221,167027, 
 购买商品、接受劳务支付的现金(万元),130490,115662,103535,91794,84627,111966,110422,124784,74003,62219,60837, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,0,0,0, 
 支付给职工以及为职工支付的现金(万元),57406,52991,53200,48035,45653,43603,41805,35181,26311,19978,17348, 
 支付的各项税费(万元),37405,34673,29548,34853,37148,45669,36874,30101,25180,15334,15699, 
 支付的其他与经营活动有关的现金(万元),50628,45089,41575,35949,42845,42757,42127,37372,44667,35962,40268, 
 经营活动现金流出小计(万元),275930,248415,227858,210632,210273,243994,231229,227438,170161,133493,134153, 
