 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2010-12-31, 
 销售商品、提供劳务收到的现金(万元),77601,46571,41269,1238,2032, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),--,0,--,--,--, 
 收到的其他与经营活动有关的现金(万元),5840,5291,4115,46,1158, 
 经营活动现金流入小计(万元),83441,51863,45384,1284,3190, 
 购买商品、接受劳务支付的现金(万元),69873,40610,49606,559,1263, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),1908,1171,499,187,364, 
 支付的各项税费(万元),2574,2365,470,125,177, 
 支付的其他与经营活动有关的现金(万元),8727,2553,5002,881,1722, 
 经营活动现金流出小计(万元),83082,46699,55577,1752,3526, 
 经营活动产生的现金流量净额(万元),359,5164,-10193,-468,-336, 
 收回投资所收到的现金(万元),--,--,3000,--,--, 
 取得投资收益所收到的现金(万元),--,--,1500,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),125,--,0,1,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,280,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),125,0,4500,281,--, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1174,335,194,--,11, 
 投资所支付的现金(万元),--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,2694,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,0,0,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),1174,3029,194,0,11, 
 投资活动产生的现金流量净额(万元),-1049,-3029,4306,281,-11, 
 吸收投资收到的现金(万元),142,--,200,--,38, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,200,--,--, 
 取得借款收到的现金(万元),6939,80,490,--,--, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,9800,2860,--, 
 筹资活动现金流入小计(万元),7081,80,10490,2860,38, 
 偿还债务支付的现金(万元),6270,2000,490,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),188,538,312,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,115,4287,1233,--, 
 筹资活动现金流出小计(万元),6458,2653,5089,1233,--, 
 筹资活动产生的现金流量净额(万元),623,-2573,5401,1627,38, 
 汇率变动对现金及现金等价物的影响(万元),-1,-4,--,--,--, 
 现金及现金等价物净增加额(万元),-68,-442,-486,1440,-309, 
 加:期初现金及现金等价物余额(万元),537,979,1465,25,391, 
 期末现金及现金等价物余额(万元),468,537,979,1465,82, 
 净利润(万元),3333,5023,5454,107855,-7125, 
 少数股东损益(万元),--,--,--,--,14, 
 未确认的投资损失(万元),--,--,--,--,130, 
 资产减值准备(万元),137,49,6,54,-70, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1616,658,235,5,73, 
 无形资产摊销(万元),274,172,267,--,33, 
 长期待摊费用摊销(万元),307,291,222,--,13, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,-5435, 
 处置固定资产、无形资产和其他长期资产的损失(万元),57,2,--,2,-141, 
 固定资产报废损失(万元),--,--,0,--,--, 
 公允价值变动损失(万元),--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),381,616,545,--,1332, 
 投资损失(万元),-49,1116,-3887,-4451,--, 
 递延所得税资产减少(万元),-32,316,-1,-13,--, 
 递延所得税负债增加(万元),-880,-42,--,--,--, 
 存货的减少(万元),-819,-2248,64,84,-89, 
 经营性应收项目的减少(万元),2759,-11747,-14169,3635,-518, 
 经营性应付项目的增加(万元),-7059,10959,1072,-107637,11446, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),335,--,--,--,--, 
 经营活动产生现金流量净额(万元),359,5164,-10193,-468,-336, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),468,537,979,1465,82, 
 现金的期初余额(万元),537,979,1465,25,391, 
 现金等价物的期末余额(万元),--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-68,-442,-486,1440,-309, 

