 报告日期,2009-12-31,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),76898,63166,80695,72847, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--, 
 处置交易性金融资产净增加额(万元),3397,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--, 
 收到的税费返还(万元),--,1,--,12, 
 收到的其他与经营活动有关的现金(万元),2309,375,5061,9064, 
 经营活动现金流入小计(万元),82603,63542,85755,81924, 
 购买商品、接受劳务支付的现金(万元),18386,13425,20202,14375, 
 客户贷款及垫款净增加额(万元),--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),8540,7754,6443,5354, 
 支付的各项税费(万元),8991,10499,20223,10491, 
 支付的其他与经营活动有关的现金(万元),6438,2821,7505,19108, 
 经营活动现金流出小计(万元),42355,34500,54374,49328, 
 经营活动产生的现金流量净额(万元),40248,29042,31382,32596, 
 收回投资所收到的现金(万元),311,13732,9928,33822, 
 取得投资收益所收到的现金(万元),--,64,1082,6401, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),890,1605,33,21, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--, 
 投资活动现金流入小计(万元),1201,15401,11043,40243, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),16167,49240,1279,3481, 
 投资所支付的现金(万元),--,18959,11929,9759, 
 质押贷款净增加额(万元),--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--, 
 投资活动现金流出小计(万元),16167,68199,13208,13240, 
 投资活动产生的现金流量净额(万元),-14967,-52797,-2165,27003, 
 吸收投资收到的现金(万元),--,81,184,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,184,--, 
 取得借款收到的现金(万元),--,26169,650,2900, 
 发行债券收到的现金(万元),--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),0,--,--,--, 
 筹资活动现金流入小计(万元),--,26250,834,2900, 
 偿还债务支付的现金(万元),150,10665,47700,2900, 
 分配股利、利润或偿付利息所支付的现金(万元),9,7312,2907,10409, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),186,--,605,--, 
 筹资活动现金流出小计(万元),344,17977,51212,13309, 
 筹资活动产生的现金流量净额(万元),-344,8274,-50378,-10409, 
 汇率变动对现金及现金等价物的影响(万元),0,--,--,--, 
 现金及现金等价物净增加额(万元),24937,-15482,-21162,49190, 
 加:期初现金及现金等价物余额(万元),60833,76315,97477,48286, 
 期末现金及现金等价物余额(万元),85770,60833,76315,97477, 
 净利润(万元),24189,8446,24110,11892, 
 少数股东损益(万元),--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--, 
 资产减值准备(万元),4703,5374,2368,1310, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),8640,7804,7600,7832, 
 无形资产摊销(万元),40,42,44,34, 
 长期待摊费用摊销(万元),40,18,8,235, 
 待摊费用的减少(万元),--,--,--,--, 
 预提费用的增加(万元),--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-227,11260,-17,--, 
 固定资产报废损失(万元),--,--,5,629, 
 公允价值变动损失(万元),-1437,2113,-264,--, 
 递延收益增加(减：减少)(万元),--,--,--,--, 
 预计负债(万元),--,--,--,--, 
 财务费用(万元),9,26,84,5331, 
 投资损失(万元),-845,-880,-6565,-622, 
 递延所得税资产减少(万元),-532,-1161,1785,-507, 
 递延所得税负债增加(万元),--,-66,66,--, 
 存货的减少(万元),691,-0,1969,-903, 
 经营性应收项目的减少(万元),8969,875,1068,-2140, 
 经营性应付项目的增加(万元),-3992,-4812,-878,9503, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--, 
 其他(万元),--,3,--,--, 
 经营活动产生现金流量净额(万元),40248,29042,31382,32596, 
 债务转为资本(万元),--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--, 
 现金的期末余额(万元),85770,60833,76315,97477, 
 现金的期初余额(万元),60833,76315,97477,48286, 
 现金等价物的期末余额(万元),--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--, 
 现金及现金等价物的净增加额(万元),24937,-15482,-21162,49190, 

