 报告日期,2018-12-31,2017-12-31,2016-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--, 
 客户存款和同业存放款项净增加额(万元),2393856,2016958,2642511, 
 向中央银行借款净增加额(万元,--,349887,23843, 
 向其他金融机构拆入资金净增加额(万元),--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--, 
 收到再保险业务现金净额(万元),--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--, 
 收取利息、手续费及佣金的现金(万元),1100349,927331,879489, 
 拆入资金净增加额(万元),348640,485861,572221, 
 回购业务资金净增加额(万元),--,608242,122213, 
 收到的税费返还(万元),--,--,--, 
 收到的其他与经营活动有关的现金(万元),152729,7414,103562, 
 经营活动现金流入小计(万元),4744495,4395693,4613321, 
 购买商品、接受劳务支付的现金(万元),--,--,--, 
 客户贷款及垫款净增加额(万元),2726635,2159620,2058883, 
 存放中央银行和同业款项净增加额(万元),--,547817,38194, 
 支付原保险合同赔付款项的现金(万元),--,--,--, 
 支付利息、手续费及佣金的现金(万元),602497,489109,600047, 
 支付保单红利的现金(万元),--,--,--, 
 支付给职工以及为职工支付的现金(万元),144610,141836,127699, 
 支付的各项税费(万元),129328,98511,123623, 
 支付的其他与经营活动有关的现金(万元),147815,228705,94695, 
 经营活动现金流出小计(万元),5599288,3700842,6196667, 
 经营活动产生的现金流量净额(万元),-854793,694850,-1583347, 
 收回投资所收到的现金(万元),31292608,36865691,23064253, 
 取得投资收益所收到的现金(万元),548688,538143,454764, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5180,2477,300, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--, 
 投资活动现金流入小计(万元),31846476,37406311,23519316, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),33921,29503,39044, 
 投资所支付的现金(万元),31929975,36556167,24211648, 
 质押贷款净增加额(万元),--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--, 
 投资活动现金流出小计(万元),31963896,36585670,24250692, 
 投资活动产生的现金流量净额(万元),-117420,820641,-731376, 
 吸收投资收到的现金(万元),910,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--, 
 取得借款收到的现金(万元),--,--,--, 
 发行债券收到的现金(万元),6308000,5356000,7934000, 
 收到其他与筹资活动有关的现金(万元),--,--,--, 
 筹资活动现金流入小计(万元),6308910,5356000,7934000, 
 偿还债务支付的现金(万元),4909015,6642953,5375580, 
 分配股利、利润或偿付利息所支付的现金(万元),190966,183518,97254, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--, 
 筹资活动现金流出小计(万元),5099981,6826471,5472834, 
 筹资活动产生的现金流量净额(万元),1208929,-1470471,2461166, 
 汇率变动对现金及现金等价物的影响(万元),5414,-5361,8558, 
 现金及现金等价物净增加额(万元),242131,39659,155001, 
 加:期初现金及现金等价物余额(万元),2681946,2642287,2487286, 
 期末现金及现金等价物余额(万元),2924077,2681946,2642287, 
 净利润(万元),231444,215019,198743, 
 少数股东损益(万元),--,--,--, 
 未确认的投资损失(万元),--,--,--, 
 资产减值准备(万元),205036,148009,187179, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),23752,25872,20577, 
 无形资产摊销(万元),12845,11996,8845, 
 长期待摊费用摊销(万元),7379,7111,4311, 
 待摊费用的减少(万元),--,--,--, 
 预提费用的增加(万元),--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-997,-699,272, 
 固定资产报废损失(万元),--,--,--, 
 公允价值变动损失(万元),-24779,28439,-3712, 
 递延收益增加(减：减少)(万元),--,--,--, 
 预计负债(万元),--,--,--, 
 财务费用(万元),160059,152383,91044, 
 投资损失(万元),-552237,-549477,-430116, 
 递延所得税资产减少(万元),-18448,-20601,-2147, 
 递延所得税负债增加(万元),--,--,--, 
 存货的减少(万元),--,--,--, 
 经营性应收项目的减少(万元),-1961536,-2824594,-1845074, 
 经营性应付项目的增加(万元),1067093,3496031,195284, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--, 
 其他(万元),--,--,--, 
 经营活动产生现金流量净额(万元),-854793,694850,-1583347, 
 债务转为资本(万元),--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--, 
 融资租入固定资产(万元),--,--,--, 
 现金的期末余额(万元),2924077,2681946,2642287, 
 现金的期初余额(万元),2681946,2642287,2487286, 
 现金等价物的期末余额(万元),--,--,--, 
 现金等价物的期初余额(万元),--,--,--, 
 现金及现金等价物的净增加额(万元),242131,39659,155001, 

