 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),35478,33308,38854,32648,27298,21110,14485,13460, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1894,752,648,2890,4,94,1114,53, 
 收到的其他与经营活动有关的现金(万元),2002,968,1136,414,204,166,179,34, 
 经营活动现金流入小计(万元),39373,35027,40638,35951,27506,21369,15778,13547, 
 购买商品、接受劳务支付的现金(万元),18685,18824,18059,17182,12383,8974,6841,8236, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6781,5619,4434,3889,3568,2827,2263,1432, 
 支付的各项税费(万元),4302,4621,5104,4552,3378,2678,2229,1909, 
 支付的其他与经营活动有关的现金(万元),5718,5426,5421,1816,1755,1394,1222,934, 
 经营活动现金流出小计(万元),35486,34489,33018,27439,21083,15874,12555,12511, 
 经营活动产生的现金流量净额(万元),3887,538,7620,8512,6423,5496,3223,1036, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,53,150, 
 取得投资收益所收到的现金(万元),144,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),11,--,1,117,35,343,--,87, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),10100,--,--,364,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),10254,0,1,481,35,343,53,238, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),10643,7442,11558,3261,3412,3147,2264,2116, 
 投资所支付的现金(万元),400,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,815,--, 
 支付的其他与投资活动有关的现金(万元),10100,--,--,--,22,109,150,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),21143,7442,11558,3261,3435,3255,3229,2116, 
 投资活动产生的现金流量净额(万元),-10889,-7442,-11557,-2781,-3399,-2912,-3176,-1879, 
 吸收投资收到的现金(万元),10876,31325,--,--,--,--,5408,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,1000,1800,2000,2800, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,1461,--,--,--,--,--,890, 
 筹资活动现金流入小计(万元),10876,32786,0,0,1000,1800,7408,3690, 
 偿还债务支付的现金(万元),--,--,--,1000,800,2000,2000,2800, 
 分配股利、利润或偿付利息所支付的现金(万元),2500,4500,--,4,3,10,26,73, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,815,--,--,--,--,300,590, 
 筹资活动现金流出小计(万元),2500,5315,0,1004,803,2010,2326,3463, 
 筹资活动产生的现金流量净额(万元),8376,27471,0,-1004,197,-210,5082,227, 
 汇率变动对现金及现金等价物的影响(万元),-5,-21,19,22,0,-6,-2,-3, 
 现金及现金等价物净增加额(万元),1369,20547,-3918,4749,3221,2367,5127,-618, 
 加:期初现金及现金等价物余额(万元),33705,13158,17075,12326,9105,6738,1610,2228, 
 期末现金及现金等价物余额(万元),35073,33705,13158,17075,12326,9105,6738,1610, 
 净利润(万元),10832,10777,10171,10679,6722,4212,4279,3044, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
