 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),138315,124764,102858,84452,76386,53247,47261,41696,34674,22750, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),7630,7827,7444,6661,4545,6760,2943,3421,2658,1531, 
 收到的其他与经营活动有关的现金(万元),4872,5065,13033,18624,49801,5255,1524,1436,734,350, 
 经营活动现金流入小计(万元),150817,137657,123334,109737,130732,65263,51728,46553,38066,24631, 
 购买商品、接受劳务支付的现金(万元),39344,31804,19624,16043,17936,10490,10275,11388,5555,4940, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),57327,46444,43827,35354,29202,27826,21361,15230,10369,8779, 
 支付的各项税费(万元),17292,15362,14749,10916,10307,11634,8093,6401,4345,2376, 
 支付的其他与经营活动有关的现金(万元),28306,36457,35772,33891,63382,14137,9367,8924,6360,4523, 
 经营活动现金流出小计(万元),142269,130068,113972,96204,120827,64086,49097,41943,26629,20617, 
 经营活动产生的现金流量净额(万元),8548,7589,9362,13533,9905,1177,2632,4609,11437,4014, 
 收回投资所收到的现金(万元),450,537,--,--,--,--,8000,520,--,--, 
 取得投资收益所收到的现金(万元),3778,3866,--,--,--,--,11,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),18,2,4,7,8,11,2,1,43,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),304280,215300,--,--,--,--,--,919,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),308526,219705,4,7,8,11,8013,1439,43,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),11620,12168,9873,5894,4859,1931,1535,3471,473,150, 
 投资所支付的现金(万元),2000,2397,3037,9165,970,--,8000,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,14363,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),345880,215300,--,--,0,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),359500,229865,12910,29422,5829,1931,9535,3471,473,150, 
