 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),21029,17298,22172,12632,6632,3827, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),2878,1551,2345,1259,437,467, 
 收到的其他与经营活动有关的现金(万元),2027,593,71,4,256,111, 
 经营活动现金流入小计(万元),25934,19441,24588,13896,7326,4405, 
 购买商品、接受劳务支付的现金(万元),12827,6891,9601,4016,967,513, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4745,3823,3300,2006,1333,1059, 
 支付的各项税费(万元),2777,3819,6271,2207,1024,626, 
 支付的其他与经营活动有关的现金(万元),6050,4836,4313,2918,1752,1142, 
 经营活动现金流出小计(万元),26400,19369,23484,11147,5077,3340, 
 经营活动产生的现金流量净额(万元),-465,72,1104,2749,2249,1065, 
 收回投资所收到的现金(万元),50,--,--,410,--,26, 
 取得投资收益所收到的现金(万元),42,89,10,447,1,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),30,--,0,0,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),106982,34980,6500,6400,200,150, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),107105,35069,6510,7257,201,176, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3051,3064,361,528,200,2025, 
 投资所支付的现金(万元),--,--,--,--,194,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),6587,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),113772,55030,6500,4500,2100,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),123411,58094,6861,5028,2494,2025, 
 投资活动产生的现金流量净额(万元),-16306,-23025,-351,2228,-2293,-1849, 
 吸收投资收到的现金(万元),--,40083,--,1000,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--, 
 取得借款收到的现金(万元),3750,--,--,--,--,313, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),3750,40083,0,1000,0,313, 
 偿还债务支付的现金(万元),3220,--,--,129,184,--, 
 分配股利、利润或偿付利息所支付的现金(万元),630,--,--,1550,--,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),14,1543,217,96,--,--, 
 筹资活动现金流出小计(万元),3864,1543,217,1775,184,0, 
 筹资活动产生的现金流量净额(万元),-114,38539,-217,-775,-184,313, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-16885,15586,536,4202,-228,-471, 
 加:期初现金及现金等价物余额(万元),20397,4811,4275,74,302,773, 
 期末现金及现金等价物余额(万元),3512,20397,4811,4275,74,302, 
 净利润(万元),1548,8423,9769,6058,2091,935, 
 少数股东损益(万元),--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--, 
 资产减值准备(万元),4307,738,475,578,35,42, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),391,145,119,168,209,73, 
 无形资产摊销(万元),123,1,3,6,9,8, 
 长期待摊费用摊销(万元),144,126,137,167,140,128, 
 待摊费用的减少(万元),--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-22,--,-0,1,--,2, 
 固定资产报废损失(万元),--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,-46,-29, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--, 
 财务费用(万元),108,--,-10,-28,-1,--, 
 投资损失(万元),-42,-89,--,-430,--,--, 
 递延所得税资产减少(万元),-310,-124,-131,-78,-5,-9, 
 递延所得税负债增加(万元),10,--,--,--,--,--, 
 存货的减少(万元),208,-1978,1441,-5001,-467,-820, 
 经营性应收项目的减少(万元),-1791,-16290,-6124,-10283,-990,-494, 
 经营性应付项目的增加(万元),-5204,9117,-4574,11591,1274,1230, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--, 
 其他(万元),64,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),-465,72,1104,2749,2249,1065, 
 债务转为资本(万元),--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--, 
 现金的期末余额(万元),3512,20397,4811,4275,74,302, 
 现金的期初余额(万元),20397,4811,4275,74,302,773, 
 现金等价物的期末余额(万元),--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-16885,15586,536,4202,-228,-471, 

