 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31, 
 销售商品、提供劳务收到的现金(万元),425831,393746,362917,395898,583338,578842,440476,249765,327881, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),6498,4638,2208,4099,4273,2175,372,2180,683, 
 收到的其他与经营活动有关的现金(万元),1196,1375,511,903,1226,863,1110,1411,852, 
 经营活动现金流入小计(万元),433525,399760,365637,400900,588837,581881,441959,253356,329416, 
 购买商品、接受劳务支付的现金(万元),346113,347527,315950,323106,519469,512622,419270,218245,314212, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),16085,14078,12229,10595,10679,9534,6942,5491,4643, 
 支付的各项税费(万元),17317,17045,14046,10316,14210,12753,5617,7188,5620, 
 支付的其他与经营活动有关的现金(万元),11852,12998,8612,10634,2715,3120,2869,2810,2707, 
 经营活动现金流出小计(万元),391368,391649,350838,354651,547073,538029,434697,233735,327183, 
 经营活动产生的现金流量净额(万元),42158,8111,14799,46249,41764,43852,7261,19621,2234, 
 收回投资所收到的现金(万元),580245,311824,--,--,--,--,1213,--,--, 
 取得投资收益所收到的现金(万元),670,339,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),164,26,33,36,29,11,310,73,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,419,--, 
 收到的其他与投资活动有关的现金(万元),--,100,50,210,--,--,--,130,390, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),581079,312288,83,246,29,11,1523,621,390, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5507,2127,5826,22061,17156,24445,38310,51342,17530, 
 投资所支付的现金(万元),605088,331831,--,--,--,--,804,1396,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,114,--,--,--,--,--,500, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),610595,333958,5940,22061,17156,24445,39113,52738,18030, 
 投资活动产生的现金流量净额(万元),-29516,-21670,-5857,-21814,-17127,-24434,-37591,-52117,-17640, 
 吸收投资收到的现金(万元),--,--,980,31823,--,--,--,1163,16651, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,980,--,--,--,--,1163,10, 
 取得借款收到的现金(万元),79889,56411,25494,107372,96826,128520,143623,120463,51192, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,3568,170,438,3139,756,27622, 
 筹资活动现金流入小计(万元),79889,56411,26474,142762,96996,128958,146761,122381,95465, 
 偿还债务支付的现金(万元),74555,23500,36536,154146,114247,142368,115820,74111,37821, 
 分配股利、利润或偿付利息所支付的现金(万元),16099,14183,3748,4126,6498,7719,7642,3773,2289, 
 其中：子公司支付给少数股东的股利、利润(万元),184,297,537,322,203,--,89,--,37, 
 支付其他与筹资活动有关的现金(万元),--,--,--,3708,1000,170,438,6589,31770, 
 筹资活动现金流出小计(万元),90655,37683,40284,161981,121745,150257,123900,84473,71880, 
 筹资活动产生的现金流量净额(万元),-10766,18728,-13810,-19218,-24749,-21299,22861,37909,23586, 
 汇率变动对现金及现金等价物的影响(万元),252,-311,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),2128,4858,-4867,5216,-112,-1882,-7468,5414,8179, 
 加:期初现金及现金等价物余额(万元),13242,8384,13251,8035,8147,10028,17496,12083,3903, 
 期末现金及现金等价物余额(万元),15370,13242,8384,13251,8035,8147,10028,17496,12083, 
 净利润(万元),20360,20556,18769,5538,5147,10495,12612,--,8773, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),3245,1358,2306,2562,6716,186,201,--,299, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),17051,17341,16736,15921,15791,14074,11688,--,5665, 
 无形资产摊销(万元),202,195,185,223,219,224,224,--,183, 
 长期待摊费用摊销(万元),355,256,92,5,48,50,50,--,69, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),164,71,124,146,170,4,280,--,--, 
 固定资产报废损失(万元),685,47,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),1364,25,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--, 
 财务费用(万元),3967,2220,1219,3801,6273,7693,7488,--,1051, 
 投资损失(万元),1146,-477,--,254,-93,62,353,--,154, 
 递延所得税资产减少(万元),-173,-132,173,268,-671,-3,-1,--,-47, 
 递延所得税负债增加(万元),--,--,--,--,-1,-1,-1,--,-4, 
 存货的减少(万元),-1428,-4049,-7058,7306,8835,2082,-20500,--,-4960, 
 经营性应收项目的减少(万元),-6217,-32610,-20226,-1049,-2385,3178,-12991,--,5321, 
 经营性应付项目的增加(万元),1436,3309,2479,11273,1716,5808,7860,--,-14270, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),42158,8111,14799,46249,41764,43852,7261,--,2234, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),15370,13242,8384,13251,8035,8147,10028,17496,12083, 
 现金的期初余额(万元),13242,8384,13251,8035,8147,10028,17496,12083,3903, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),2128,4858,-4867,5216,-112,-1882,-7468,5414,8179, 

