 报告日期,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),1159478,939116,565379, 
 客户存款和同业存放款项净增加额(万元),--,--,--, 
 向中央银行借款净增加额(万元,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--, 
 收到再保险业务现金净额(万元),--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--, 
 拆入资金净增加额(万元),--,--,--, 
 回购业务资金净增加额(万元),--,--,--, 
 收到的税费返还(万元),696,2,--, 
 收到的其他与经营活动有关的现金(万元),8882,3533,1262, 
 经营活动现金流入小计(万元),1169055,942651,566641, 
 购买商品、接受劳务支付的现金(万元),1153409,689262,456206, 
 客户贷款及垫款净增加额(万元),--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--, 
 支付保单红利的现金(万元),--,--,--, 
 支付给职工以及为职工支付的现金(万元),85088,67555,52307, 
 支付的各项税费(万元),47880,78177,48230, 
 支付的其他与经营活动有关的现金(万元),11769,8573,4217, 
 经营活动现金流出小计(万元),1298146,843566,560960, 
 经营活动产生的现金流量净额(万元),-129091,99084,5681, 
 收回投资所收到的现金(万元),--,2766,--, 
 取得投资收益所收到的现金(万元),80,1662,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1304,1829,38, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--, 
 收到的其他与投资活动有关的现金(万元),745,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--, 
 投资活动现金流入小计(万元),2130,6257,38, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),221780,89837,255462, 
 投资所支付的现金(万元),--,11365,--, 
 质押贷款净增加额(万元),--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,118, 
 增加质押和定期存款所支付的现金(万元),--,--,--, 
 投资活动现金流出小计(万元),221780,101202,255580, 
 投资活动产生的现金流量净额(万元),-219651,-94945,-255542, 
 吸收投资收到的现金(万元),--,--,154766, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--, 
 取得借款收到的现金(万元),576420,593910,459060, 
 发行债券收到的现金(万元),248310,--,--, 
 收到其他与筹资活动有关的现金(万元),135000,--,--, 
 筹资活动现金流入小计(万元),959730,593910,613826, 
 偿还债务支付的现金(万元),504920,458450,249980, 
 分配股利、利润或偿付利息所支付的现金(万元),56639,56089,17962, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--, 
 支付其他与筹资活动有关的现金(万元),42909,--,--, 
 筹资活动现金流出小计(万元),604468,514539,267942, 
 筹资活动产生的现金流量净额(万元),355262,79371,345884, 
 汇率变动对现金及现金等价物的影响(万元),-386,-563,-206, 
 现金及现金等价物净增加额(万元),6134,82948,95817, 
 加:期初现金及现金等价物余额(万元),265038,182090,86273, 
 期末现金及现金等价物余额(万元),271172,265038,182090, 
 净利润(万元),2801,44851,32830, 
 少数股东损益(万元),--,--,--, 
 未确认的投资损失(万元),--,--,--, 
 资产减值准备(万元),7432,-710,-48, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),43406,39468,31733, 
 无形资产摊销(万元),23,--,--, 
 长期待摊费用摊销(万元),--,--,--, 
 待摊费用的减少(万元),--,--,--, 
 预提费用的增加(万元),--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),1790,314,105, 
 固定资产报废损失(万元),--,5,--, 
 公允价值变动损失(万元),--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--, 
 预计负债(万元),--,--,--, 
 财务费用(万元),32425,31950,18031, 
 投资损失(万元),-2061,-2898,-1884, 
 递延所得税资产减少(万元),-6087,293,5819, 
 递延所得税负债增加(万元),250,--,--, 
 存货的减少(万元),-143016,24394,-33604, 
 经营性应收项目的减少(万元),-41953,-11929,-35588, 
 经营性应付项目的增加(万元),-24102,-26653,-11712, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--, 
 其他(万元),--,--,--, 
 经营活动产生现金流量净额(万元),-129091,99084,5681, 
 债务转为资本(万元),--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--, 
 融资租入固定资产(万元),138244,--,--, 
 现金的期末余额(万元),271172,265038,182090, 
 现金的期初余额(万元),265038,182090,86273, 
 现金等价物的期末余额(万元),--,--,--, 
 现金等价物的期初余额(万元),--,--,--, 
 现金及现金等价物的净增加额(万元),6134,82948,95817, 

