 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 客户存款和同业存放款项净增加额(万元),188010700,158363400,147784600,136100800,115668800,99411900,150861600,130854800,137438700,188664500,133788600,94649700,79795900,58142700,44795100,53654600, 
 向中央银行借款净增加额(万元,3200,--,33500,--,--,--,102500,4900,5100,--,--,--,--,--,--,1928100, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 处置交易性金融资产净增加额(万元),--,10905300,289500,10701500,3598200,35800,1212200,566900,924500,1812300,658000,--,--,--,--,0, 
 收取利息、手续费及佣金的现金(万元),113585900,105003200,97543200,102656900,98347500,89107900,82412400,67920100,52767500,45815700,47185400,36556000,27708100,22135100,19673700,18363200, 
 拆入资金净增加额(万元),--,1823600,--,3092200,2392000,15412300,589900,10570800,5752300,1701700,--,4620200,146400,--,227900,0, 
 回购业务资金净增加额(万元),--,45703200,25211500,--,8165300,6154000,3132500,12136600,4882800,3141200,--,14652200,1630900,596200,1008600,0, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 收到的其他与经营活动有关的现金(万元),18628800,14458400,12294200,8805800,2778300,3281300,2387000,1548100,1440300,1100400,3920900,608200,5860500,1195300,1731600,655500, 
 经营活动现金流入小计(万元),372391000,347769300,292000600,318809800,246070800,255062300,255511000,243121300,230702100,242454000,187694200,153418500,115911400,83847700,69067300,84847600, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 客户贷款及垫款净增加额(万元),125866500,133310300,111967400,92423100,112184000,115953900,101059200,103650600,107153800,116989100,54102500,47576000,37165800,24453600,35497000,43167000, 
 存放中央银行和同业款项净增加额(万元),8316200,20819100,36781200,7901500,22329100,31901000,23061700,--,59465500,34697800,26317100,42273400,14336900,5752800,7536100,6321200, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
 支付利息、手续费及佣金的现金(万元),36887400,34385400,33727400,35629300,32941100,27723200,25321700,21217500,15246900,16681500,15149800,12279100,9801400,8410400,6974300,6480100, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0, 
