 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),--,--,--,--,--,--,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,15270,--,--,72357,196112, 
 收取利息、手续费及佣金的现金(万元),228022,252775,237599,424994,165803,113084,77495, 
 拆入资金净增加额(万元),--,--,--,--,11000,49000,--, 
 回购业务资金净增加额(万元),700057,126738,--,137018,381782,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1496,1573,22921,3643,3472,2731,920, 
 经营活动现金流入小计(万元),1325134,381085,356816,1212714,1019763,237171,319839, 
 购买商品、接受劳务支付的现金(万元),--,--,--,--,--,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),82248,61104,50755,104134,30381,17870,18108, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),61528,53874,55624,59292,30211,28806,28159, 
 支付的各项税费(万元),32519,42514,30639,84791,23880,15756,10752, 
 支付的其他与经营活动有关的现金(万元),30862,35791,27675,30366,23228,35192,22136, 
 经营活动现金流出小计(万元),1263741,790701,1142231,846461,521924,288767,353706, 
 经营活动产生的现金流量净额(万元),61393,-409615,-785415,366253,497839,-51595,-33867, 
 收回投资所收到的现金(万元),180,500,--,62,--,--,--, 
 取得投资收益所收到的现金(万元),1430,1946,1278,728,905,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,--,--,--,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),73,49,91,92,526,160,54, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1683,2495,1369,882,1431,160,54, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),9753,6237,10593,9140,4374,5161,16076, 
 投资所支付的现金(万元),8874,68302,13338,12241,5181,2988,1475, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,3000,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),18628,74538,23931,21381,9555,11149,17551, 
 投资活动产生的现金流量净额(万元),-16945,-72044,-22562,-20500,-8124,-10990,-17497, 
 吸收投资收到的现金(万元),1250,6750,513924,5000,--,--,75328, 
 其中：子公司吸收少数股东投资收到的现金(万元),1250,6750,14500,5000,--,--,--, 
 取得借款收到的现金(万元),--,--,--,411,--,--,--, 
 发行债券收到的现金(万元),946014,523805,470000,369485,160000,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),947264,530555,983924,374896,160000,0,75328, 
 偿还债务支付的现金(万元),1061300,241071,640229,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),57076,34643,70758,24068,8713,--,19590, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,200,--,350, 
 支付其他与筹资活动有关的现金(万元),--,170,1153,--,--,--,--, 
 筹资活动现金流出小计(万元),1118376,275883,712139,24068,8713,0,19590, 
 筹资活动产生的现金流量净额(万元),-171112,254671,271784,350828,151287,0,55738, 
 汇率变动对现金及现金等价物的影响(万元),118,-143,147,111,5,-42,-3, 
 现金及现金等价物净增加额(万元),-126545,-227131,-536045,696692,641007,-62627,4372, 
 加:期初现金及现金等价物余额(万元),1118109,1345240,1881286,1184594,543587,606214,601525, 
 期末现金及现金等价物余额(万元),991565,1118109,1345240,1881286,1184594,543587,605897, 
 净利润(万元),57785,65222,60442,186513,68789,18941,16873, 
 少数股东损益(万元),--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--, 
 资产减值准备(万元),6817,2723,419,670,4613,50,27, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),4628,4748,5055,5072,5387,5728,5199, 
 无形资产摊销(万元),2207,2114,1806,1414,1024,779,477, 
 长期待摊费用摊销(万元),1440,1212,1297,1372,1571,1498,1521, 
 待摊费用的减少(万元),--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),17,60,131,77,106,-67,21, 
 固定资产报废损失(万元),--,--,--,--,--,--,--, 
 公允价值变动损失(万元),19877,29457,33663,13273,-7592,10155,-6914, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--, 
 财务费用(万元),34578,16955,22837,15992,4377,--,--, 
