 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31, 
 销售商品、提供劳务收到的现金(万元),384228,331337,257411,216396,158350,126665,90227,87122,77097,53262,49656,45092,33250,20717,16053, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 收到的税费返还(万元),18271,14901,9488,3886,5952,738,--,--,0,0,--,0,0,988,255, 
 收到的其他与经营活动有关的现金(万元),24469,15942,23008,12790,15686,12268,7036,7229,6786,3933,1327,828,541,1887,172, 
 经营活动现金流入小计(万元),426968,362181,289908,233073,179988,139671,97263,94350,83884,57195,50983,45921,33791,23593,16479, 
 购买商品、接受劳务支付的现金(万元),183552,160258,110220,88195,68689,62647,46471,44359,34036,18890,25475,21438,13786,10644,9106, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),98751,82075,68630,55141,38674,26969,19893,16810,11676,7712,8135,6317,4211,2481,1731, 
 支付的各项税费(万元),16118,12884,11152,9917,9958,6508,4670,6374,5313,5360,6076,4134,2716,2207,1443, 
 支付的其他与经营活动有关的现金(万元),15244,16610,13653,11463,7353,4782,4778,4960,3611,1980,2302,2100,1210,1162,652, 
 经营活动现金流出小计(万元),313665,271827,203656,164718,124674,100905,75812,72503,54635,33943,41988,33988,21924,16494,12933, 
 经营活动产生的现金流量净额(万元),113303,90354,86252,68355,55315,38766,21451,21847,29249,23252,8995,11933,11867,7098,3546, 
 收回投资所收到的现金(万元),--,2600,--,--,--,--,--,--,--,--,--,0,0,0,0, 
 取得投资收益所收到的现金(万元),20,377,172,388,121,--,--,--,--,--,--,0,0,0,0, 
