 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31, 
 销售商品、提供劳务收到的现金(万元),7842637,8117381,5803180,3454722,2671202,2194810,1429385,1181988,884076,0,759596,4871171,3535768,2575553, 
 客户存款和同业存放款项净增加额(万元),152698,821905,--,--,--,--,--,--,0,0,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,25919,2564,0,0,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,-1696,-74,0,0,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),79841,30487,--,--,--,--,--,--,0,0,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
 收到的税费返还(万元),17608,354,3752,6981,8626,19066,12609,6093,658,0,196,227,454,451, 
 收到的其他与经营活动有关的现金(万元),642570,325816,208638,252737,209501,138833,104244,183353,66854,0,33576,53011,41970,70992, 
 经营活动现金流入小计(万元),8735354,9295943,6015571,3714441,2889329,2352708,1570461,1373925,951588,923790,793368,4924410,3578192,2646996, 
 购买商品、接受劳务支付的现金(万元),6723516,5840707,4292758,2420393,2134066,1754201,1091782,1076203,794032,0,699856,3668709,2498865,1904107, 
 客户贷款及垫款净增加额(万元),-2475,65000,--,--,--,--,--,--,0,0,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),12574,136050,--,--,--,--,--,--,0,0,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,4931,208,0,0,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),8238,4672,--,--,--,--,3579,15,0,0,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,0,0,0,0,0,0, 
