 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),98723,58620,49233,19269,15220,11905,14164,10038, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),386,385,268,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),3586,1213,1039,1146,323,444,134,213, 
 经营活动现金流入小计(万元),102695,60218,50541,20415,15543,12349,14298,10251, 
 购买商品、接受劳务支付的现金(万元),78458,41738,30777,6528,9174,4435,5854,4649, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),14818,10471,8157,3441,2599,1898,1778,1063, 
 支付的各项税费(万元),6084,6517,4802,2397,1371,1881,2558,1909, 
 支付的其他与经营活动有关的现金(万元),11556,6429,4378,2402,1612,1170,1361,806, 
 经营活动现金流出小计(万元),110915,65156,48114,14769,14756,9385,11552,8427, 
 经营活动产生的现金流量净额(万元),-8221,-4938,2427,5646,787,2964,2746,1824, 
 收回投资所收到的现金(万元),--,--,0,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),395,713,522,101,1,7,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),409,21,10,9,--,--,3,30, 
 处置子公司及其他营业单位收到的现金净额(万元),55,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),3170,1814,487,2938,--,--,1,208, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),4028,2548,1019,3048,1,7,4,239, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),6345,3075,1213,2028,1699,949,1476,1913, 
 投资所支付的现金(万元),--,--,900,--,--,--,--,150, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),6,4367,19675,--,--,--,--,3128, 
 支付的其他与投资活动有关的现金(万元),3119,1450,210,5995,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),9470,8892,21998,8023,1699,949,1476,5190, 
 投资活动产生的现金流量净额(万元),-5442,-6344,-20979,-4975,-1698,-941,-1473,-4951, 
 吸收投资收到的现金(万元),850,5966,28905,14540,--,--,--,7339, 
 其中：子公司吸收少数股东投资收到的现金(万元),850,927,540,--,--,--,--,33, 
 取得借款收到的现金(万元),5000,2000,--,2050,800,800,1300,1000, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),8275,150,162,283,--,150,--,876, 
 筹资活动现金流入小计(万元),14125,8116,29067,16873,800,950,1300,9214, 
 偿还债务支付的现金(万元),3020,1600,7970,1135,--,2100,1000,1000, 
 分配股利、利润或偿付利息所支付的现金(万元),3289,73,729,1068,16,836,1016,1128, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),3909,--,--,1023,120,120,148,252, 
 筹资活动现金流出小计(万元),10217,1673,8699,3226,136,3056,2164,2380, 
 筹资活动产生的现金流量净额(万元),3907,6443,20367,13647,664,-2106,-864,6835, 
 汇率变动对现金及现金等价物的影响(万元),-0,-0,11,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-9755,-4839,1827,14318,-247,-83,409,3707, 
 加:期初现金及现金等价物余额(万元),15814,20653,18826,4508,4755,4838,4429,722, 
 期末现金及现金等价物余额(万元),6059,15814,20653,18826,4508,4755,4838,4429, 
 净利润(万元),12928,7006,7094,2170,3098,3835,3706,3390, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--, 
 资产减值准备(万元),2048,3056,2680,292,312,111,121,-115, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1951,1569,1491,682,582,507,402,275, 
