 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),33076,46984,26999,15442,7396, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),2421,2866,2263,1136,206, 
 收到的其他与经营活动有关的现金(万元),1593,3674,466,336,1053, 
 经营活动现金流入小计(万元),37090,53523,29728,16914,8656, 
 购买商品、接受劳务支付的现金(万元),39931,18490,13714,7377,4593, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),12040,10560,7561,4044,2328, 
 支付的各项税费(万元),4697,5612,7365,2497,555, 
 支付的其他与经营活动有关的现金(万元),8293,4665,5913,2866,1380, 
 经营活动现金流出小计(万元),64960,39327,34553,16784,8856, 
 经营活动产生的现金流量净额(万元),-27870,14197,-4825,130,-200, 
 收回投资所收到的现金(万元),71510,54700,11830,11800,1402, 
 取得投资收益所收到的现金(万元),625,527,103,117,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),3,1,--,7,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),72138,55228,11933,11925,1403, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2080,5133,2557,1430,255, 
 投资所支付的现金(万元),76800,55710,29000,17000,400, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),78880,60843,31557,18430,655, 
 投资活动产生的现金流量净额(万元),-6742,-5615,-19623,-6505,747, 
 吸收投资收到的现金(万元),30630,--,25000,8000,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--, 
 取得借款收到的现金(万元),5520,1000,500,350,700, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,250, 
 筹资活动现金流入小计(万元),36149,1000,25500,8350,950, 
 偿还债务支付的现金(万元),--,1200,500,535,1315, 
 分配股利、利润或偿付利息所支付的现金(万元),932,5,22,27,81, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),1250,--,--,--,--, 
 筹资活动现金流出小计(万元),2182,1205,522,562,1396, 
 筹资活动产生的现金流量净额(万元),33967,-205,24978,7788,-446, 
 汇率变动对现金及现金等价物的影响(万元),1,-1,1,3,1, 
 现金及现金等价物净增加额(万元),-643,8376,531,1416,103, 
 加:期初现金及现金等价物余额(万元),11521,3145,2614,1198,1095, 
 期末现金及现金等价物余额(万元),10878,11521,3145,2614,1198, 
 净利润(万元),8246,9150,12631,9190,--, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),2361,820,570,993,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1676,1162,734,308,--, 
 无形资产摊销(万元),51,43,70,61,--, 
 长期待摊费用摊销(万元),1188,640,401,116,--, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),10,9,--,6,--, 
 固定资产报废损失(万元),--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),67,6,21,23,--, 
 投资损失(万元),-781,-827,-212,-153,--, 
 递延所得税资产减少(万元),-195,42,-78,-167,--, 
 递延所得税负债增加(万元),--,--,--,--,--, 
 存货的减少(万元),-9372,-9315,-3671,-5283,--, 
 经营性应收项目的减少(万元),-49782,-1081,-23833,-20330,--, 
 经营性应付项目的增加(万元),18663,13549,4997,15365,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),--,--,3545,--,--, 
 经营活动产生现金流量净额(万元),-27870,14197,-4825,130,--, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),10878,11521,3145,2614,1198, 
 现金的期初余额(万元),11521,3145,2614,1198,1095, 
 现金等价物的期末余额(万元),--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-643,8376,531,1416,103, 

