 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),155413,121174,76749,77649,73814,60850,47715,29203, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),10110,9268,9331,5074,2951,2411,2545,2230, 
 收到的其他与经营活动有关的现金(万元),6292,1989,1179,3386,375,1082,338,593, 
 经营活动现金流入小计(万元),171815,132431,87259,86109,77140,64343,50597,32025, 
 购买商品、接受劳务支付的现金(万元),45194,27181,10699,12599,13739,7111,14976,6071, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),16690,14491,13119,11597,9102,7565,5304,3857, 
 支付的各项税费(万元),26898,19869,17021,12216,9185,8165,5159,5288, 
 支付的其他与经营活动有关的现金(万元),8641,4439,3623,3950,5007,2839,3371,3233, 
 经营活动现金流出小计(万元),97422,65981,44462,40362,37033,25679,28810,18449, 
 经营活动产生的现金流量净额(万元),74393,66450,42797,45747,40106,38664,21787,13576, 
 收回投资所收到的现金(万元),33066,63617,9368,19086,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),26,2,1,8,18,3,3,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,7,190, 
 收到的其他与投资活动有关的现金(万元),--,1414,2000,5200,1430,2404,2086,4626, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),33092,65032,11369,24294,1448,2407,2096,4816, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),106704,44036,24673,21118,10680,22832,20604,39520, 
 投资所支付的现金(万元),14000,60003,23000,29000,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,1842,85, 
