 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),229673,114871,173073,167927,225538,170372,110731,114748, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),3,2,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),41592,67625,78056,34299,18238,34913,23409,27738, 
 经营活动现金流入小计(万元),271268,182499,251129,202226,243776,205285,134139,142486, 
 购买商品、接受劳务支付的现金(万元),202298,148281,145358,170170,181461,130061,79371,106077, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),19705,11299,9528,10919,10746,7538,5172,4524, 
 支付的各项税费(万元),11729,6838,7571,5213,4835,4365,2046,1304, 
 支付的其他与经营活动有关的现金(万元),32313,64709,76647,39894,31358,46137,28372,29759, 
 经营活动现金流出小计(万元),266045,231128,239103,226196,228401,188100,114962,141665, 
 经营活动产生的现金流量净额(万元),5223,-48629,12027,-23970,15376,17185,19178,821, 
 收回投资所收到的现金(万元),--,16000,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),23,59,--,--,--,--,--,7, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),599,57,--,18,0,0,11,2, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),1304,9207,15500,17700,--,--,105,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1926,25322,15500,17718,0,0,116,9, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),9418,21934,3756,1512,3455,3498,2259,2315, 
 投资所支付的现金(万元),1234,63587,3000,--,--,--,396,386, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,1455,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),6,1128,3788,9173,14081,13309,11983,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),10657,88104,10544,10685,17536,16806,14639,2701, 
 投资活动产生的现金流量净额(万元),-8731,-62782,4956,7033,-17535,-16806,-14522,-2693, 
 吸收投资收到的现金(万元),1415,--,46237,--,--,--,1200,15810, 
 其中：子公司吸收少数股东投资收到的现金(万元),1415,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),145260,166200,104100,72000,75100,67800,31200,26400, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),12930,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),159605,166200,150337,72000,75100,67800,32400,42210, 
 偿还债务支付的现金(万元),123159,132180,90240,59490,70520,54400,24400,24400, 
 分配股利、利润或偿付利息所支付的现金(万元),11299,6365,6364,6125,4704,2908,1949,1417, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),11590,930,825,592,279,554,417,361, 
 筹资活动现金流出小计(万元),146048,139475,97429,66208,75502,57862,26766,26178, 
 筹资活动产生的现金流量净额(万元),13558,26725,52908,5792,-402,9938,5634,16032, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),10049,-84686,69891,-11144,-2562,10317,10290,14160, 
 加:期初现金及现金等价物余额(万元),27036,111149,41258,52402,54964,44647,34357,20197, 
 期末现金及现金等价物余额(万元),37085,26463,111149,41258,52402,54964,44647,34357, 
 净利润(万元),9450,4857,9074,8839,11707,8204,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
