 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),52629,42469,47843,40071,38042,35257,28770,24233, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,1,--,72, 
 收到的其他与经营活动有关的现金(万元),440,354,242,257,141,173,95,40, 
 经营活动现金流入小计(万元),53070,42823,48085,40328,38183,35431,28865,24345, 
 购买商品、接受劳务支付的现金(万元),39206,34010,38149,31576,30724,26459,25183,21757, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2034,1743,1703,1443,1144,1073,680,371, 
 支付的各项税费(万元),2306,2159,1692,1271,1479,1506,1370,775, 
 支付的其他与经营活动有关的现金(万元),2130,1523,1595,1171,1025,1002,683,543, 
 经营活动现金流出小计(万元),45676,39435,43139,35461,34372,30041,27916,23445, 
 经营活动产生的现金流量净额(万元),7394,3389,4946,4868,3811,5390,949,899, 
 收回投资所收到的现金(万元),47890,86570,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),3403,443,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,--,--,0,--,0,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,107,680,671,580,600,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),51293,87013,107,680,671,580,600,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),14151,2818,729,932,4288,7634,3919,1501, 
 投资所支付的现金(万元),44143,109860,--,--,90,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,500,300,--,--,--,600, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),58295,112678,1229,1232,4378,7634,3919,2101, 
 投资活动产生的现金流量净额(万元),-7002,-25665,-1122,-551,-3707,-7053,-3319,-2101, 
 吸收投资收到的现金(万元),--,--,20820,--,--,1200,2550,5200, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),16000,10000,--,--,2194,402,2295,2620, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),195,309,--,--,379,--,16,1894, 
 筹资活动现金流入小计(万元),16195,10309,20820,0,2573,1602,4860,9714, 
 偿还债务支付的现金(万元),10000,--,2546,1149,600,300,794,2495, 
 分配股利、利润或偿付利息所支付的现金(万元),5552,1972,68,218,207,166,79,52, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,1283,1857,56,--,278,--,4335, 
 筹资活动现金流出小计(万元),15552,3255,4471,1422,807,744,873,6882, 
 筹资活动产生的现金流量净额(万元),643,7054,16349,-1422,1766,858,3988,2832, 
 汇率变动对现金及现金等价物的影响(万元),85,-148,156,4,-3,-44,-15,23, 
 现金及现金等价物净增加额(万元),1120,-15371,20330,2899,1867,-849,1602,1652, 
 加:期初现金及现金等价物余额(万元),13601,28973,8643,5744,3877,4726,3124,1472, 
 期末现金及现金等价物余额(万元),14721,13601,28973,8643,5744,3877,4726,3124, 
 净利润(万元),6330,5457,4732,4117,3809,3419,3046,1983, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--, 
 资产减值准备(万元),114,30,180,32,-36,73,39,54, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1125,1095,1054,741,524,301,245,168, 
 无形资产摊销(万元),122,122,122,116,116,80,34,7, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,38, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),0,--,--,16,--,0,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,6,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--, 
 财务费用(万元),683,215,-92,211,209,216,90,35, 
 投资损失(万元),-922,-463,2,13,9,--,--,--, 
 递延所得税资产减少(万元),-67,-4,-27,-5,5,-11,-6,-8, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--, 
 存货的减少(万元),-770,-3932,-3080,348,-191,-798,-1235,-614, 
 经营性应收项目的减少(万元),-2695,-2568,-2183,-893,147,-320,-2121,-445, 
 经营性应付项目的增加(万元),3472,3436,4239,172,-781,2429,851,-318, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),7394,3389,4946,4868,3811,5390,949,899, 
 债务转为资本(万元),--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),14721,13601,28973,8643,5744,3877,4726,3124, 
 现金的期初余额(万元),13601,28973,8643,5744,3877,4726,3124,1472, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),1120,-15371,20330,2899,1867,-849,1602,1652, 

