 报告日期,2008-12-31,2007-12-31,2006-12-31, 
 销售商品、提供劳务收到的现金(万元),33269,26696,25708, 
 客户存款和同业存放款项净增加额(万元),--,0,0, 
 向中央银行借款净增加额(万元,--,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,0,0, 
 收到原保险合同保费取得的现金(万元),--,0,0, 
 收到再保险业务现金净额(万元),--,0,0, 
 保户储金及投资款净增加额(万元),--,0,0, 
 处置交易性金融资产净增加额(万元),--,0,0, 
 收取利息、手续费及佣金的现金(万元),--,0,0, 
 拆入资金净增加额(万元),--,0,0, 
 回购业务资金净增加额(万元),--,0,0, 
 收到的税费返还(万元),134,210,21, 
 收到的其他与经营活动有关的现金(万元),994,1643,16, 
 经营活动现金流入小计(万元),34398,28549,25745, 
 购买商品、接受劳务支付的现金(万元),14304,15609,13813, 
 客户贷款及垫款净增加额(万元),--,0,0, 
 存放中央银行和同业款项净增加额(万元),--,0,0, 
 支付原保险合同赔付款项的现金(万元),--,0,0, 
 支付利息、手续费及佣金的现金(万元),--,0,0, 
 支付保单红利的现金(万元),--,0,0, 
 支付给职工以及为职工支付的现金(万元),6094,4786,6017, 
 支付的各项税费(万元),4819,3273,3393, 
 支付的其他与经营活动有关的现金(万元),9645,7217,4285, 
 经营活动现金流出小计(万元),34861,30886,27508, 
 经营活动产生的现金流量净额(万元),-463,-2337,-1764, 
 收回投资所收到的现金(万元),468,2275,1355, 
 取得投资收益所收到的现金(万元),2219,8208,81, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,100,52, 
 处置子公司及其他营业单位收到的现金净额(万元),--,0,0, 
 收到的其他与投资活动有关的现金(万元),--,316,7571, 
 减少质押和定期存款所收到的现金(万元),--,0,0, 
 投资活动现金流入小计(万元),2688,10898,9058, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),3499,1899,1026, 
 投资所支付的现金(万元),--,0,1065, 
 质押贷款净增加额(万元),--,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,0,0, 
 支付的其他与投资活动有关的现金(万元),142,202,0, 
 增加质押和定期存款所支付的现金(万元),--,0,0, 
 投资活动现金流出小计(万元),3640,2101,2091, 
 投资活动产生的现金流量净额(万元),-952,8798,6967, 
 吸收投资收到的现金(万元),--,0,0, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,0,0, 
 取得借款收到的现金(万元),26380,38440,18767, 
 发行债券收到的现金(万元),--,0,0, 
 收到其他与筹资活动有关的现金(万元),400,0,3875, 
 筹资活动现金流入小计(万元),26780,38440,22642, 
 偿还债务支付的现金(万元),23230,43832,25737, 
 分配股利、利润或偿付利息所支付的现金(万元),1291,1060,1668, 
 其中：子公司支付给少数股东的股利、利润(万元),--,0,0, 
 支付其他与筹资活动有关的现金(万元),--,0,0, 
 筹资活动现金流出小计(万元),24521,44892,27405, 
 筹资活动产生的现金流量净额(万元),2259,-6452,-4763, 
 汇率变动对现金及现金等价物的影响(万元),--,0,0, 
 现金及现金等价物净增加额(万元),845,8,441, 
 加:期初现金及现金等价物余额(万元),2561,2553,2112, 
 期末现金及现金等价物余额(万元),3405,2561,2553, 
 净利润(万元),1835,4032,-890, 
 少数股东损益(万元),--,276,96, 
 未确认的投资损失(万元),--,0,0, 
 资产减值准备(万元),1628,4717,408, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1164,1149,2044, 
 无形资产摊销(万元),227,275,137, 
 长期待摊费用摊销(万元),--,0,11, 
 待摊费用的减少(万元),--,0,0, 
 预提费用的增加(万元),--,0,0, 
 处置固定资产、无形资产和其他长期资产的损失(万元),235,68,18, 
 固定资产报废损失(万元),--,0,0, 
 公允价值变动损失(万元),--,0,0, 
 递延收益增加(减：减少)(万元),--,0,0, 
 预计负债(万元),--,0,0, 
 财务费用(万元),1226,1134,1670, 
 投资损失(万元),-2683,-8564,106, 
 递延所得税资产减少(万元),-47,-219,142, 
 递延所得税负债增加(万元),-14,27,0, 
 存货的减少(万元),-57,-2549,514, 
 经营性应收项目的减少(万元),-2205,1960,942, 
 经营性应付项目的增加(万元),-1772,-4261,-8091, 
 已完工尚未结算款的减少(减:增加)(万元),--,0,0, 
 已结算尚未完工款的增加(减:减少)(万元),--,0,0, 
 其他(万元),--,-382,1130, 
 经营活动产生现金流量净额(万元),-463,-2337,-1764, 
 债务转为资本(万元),--,0,0, 
 一年内到期的可转换公司债券(万元),--,0,0, 
 融资租入固定资产(万元),--,0,0, 
 现金的期末余额(万元),3405,2561,2553, 
 现金的期初余额(万元),2561,2553,2112, 
 现金等价物的期末余额(万元),--,0,0, 
 现金等价物的期初余额(万元),--,0,0, 
 现金及现金等价物的净增加额(万元),845,8,441, 

