 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2010-12-31,2009-12-31, 
 销售商品、提供劳务收到的现金(万元),280025,240645,234970,199888,193591,188586,201472,170329,130055, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,207,30,4,21,43,26,13,154, 
 收到的其他与经营活动有关的现金(万元),7573,3009,1702,1739,1705,4848,1590,791,2065, 
 经营活动现金流入小计(万元),287598,243861,236701,201631,195317,193477,203089,171133,132274, 
 购买商品、接受劳务支付的现金(万元),203932,193290,169445,164262,165804,165145,162539,157580,114569, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),24554,22636,19814,18118,16692,14654,13148,7234,5099, 
 支付的各项税费(万元),868,886,1312,790,570,580,526,339,255, 
 支付的其他与经营活动有关的现金(万元),3301,3040,3119,3047,2440,2834,3040,4475,3228, 
 经营活动现金流出小计(万元),232655,219851,193690,186218,185505,183213,179253,169627,123151, 
 经营活动产生的现金流量净额(万元),54943,24010,43012,15413,9811,10265,23836,1506,9123, 
 收回投资所收到的现金(万元),708425,319092,150,--,--,1004,--,--,--, 
 取得投资收益所收到的现金(万元),3887,2587,421,495,506,65,60,20,10, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),3262,6051,939,22,215,139,0,5,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,260,725870,136702,876628,16,--,1500,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),715574,327990,727379,137219,877348,1224,60,1525,10, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),17326,20855,29092,12335,6780,21225,24439,9962,7140, 
 投资所支付的现金(万元),761807,346120,--,--,--,500,--,249,730, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,783500,137384,882926,4000,--,--,1500, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),779132,366976,812592,149720,889706,25725,24439,10211,9370, 
 投资活动产生的现金流量净额(万元),-63559,-38986,-85213,-12501,-12357,-24501,-24378,-8687,-9360, 
 吸收投资收到的现金(万元),1830,--,82729,17305,--,--,--,10335,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),1830,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),9500,2000,8000,17000,34500,35000,26780,11480,9880, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),358,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),11688,2000,90729,34305,34500,35000,26780,21815,9880, 
 偿还债务支付的现金(万元),2000,1200,15800,41500,35376,18780,21780,10180,8866, 
 分配股利、利润或偿付利息所支付的现金(万元),7479,3846,1873,924,1977,1438,1725,450,525, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,358,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),9479,5404,17673,42424,37353,20218,23505,10630,9391, 
 筹资活动产生的现金流量净额(万元),2209,-3404,73056,-8119,-2853,14782,3275,11185,489, 
 汇率变动对现金及现金等价物的影响(万元),-1,-3,1,0,1,-2,-4,-0,-2, 
 现金及现金等价物净增加额(万元),-6408,-18383,30856,-5207,-5397,544,2729,4004,249, 
 加:期初现金及现金等价物余额(万元),21877,40260,9404,14610,20008,19464,16735,6054,5805, 
 期末现金及现金等价物余额(万元),15469,21877,40260,9404,14610,20008,19464,10058,6054, 
 净利润(万元),42224,10190,24520,2255,4434,4762,8678,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),192,597,413,326,825,1157,-142,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),16338,15441,12586,11488,9361,7786,8200,--,--, 
 无形资产摊销(万元),177,189,173,143,130,126,116,--,--, 
 长期待摊费用摊销(万元),85,88,470,102,208,84,62,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-5,9,506,201,6,59,0,--,--, 
 固定资产报废损失(万元),864,144,--,--,--,--,17,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--, 
 财务费用(万元),216,53,267,885,1880,1326,534,--,--, 
 投资损失(万元),-3887,-2587,-421,-495,-506,-82,-60,--,--, 
 递延所得税资产减少(万元),0,25,-26,--,--,--,--,--,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--,--, 
 存货的减少(万元),-8282,-1795,564,3448,-5532,-1043,903,--,--, 
 经营性应收项目的减少(万元),-725,-1428,-630,2252,-1913,-2339,5078,--,--, 
 经营性应付项目的增加(万元),7745,3083,4589,-5193,918,-1571,451,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),54943,24010,43012,15413,9811,10265,23836,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),15469,21877,40260,9404,14610,20008,19464,10058,6054, 
 现金的期初余额(万元),21877,40260,9404,14610,20008,19464,16735,6054,5805, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-6408,-18383,30856,-5207,-5397,544,2729,4004,249, 

