 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),43780,41232,33574,27005,24676,21132,22020,16889, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),345,182,90,154,48,--,1,10, 
 收到的其他与经营活动有关的现金(万元),451,574,457,591,651,509,100,1236, 
 经营活动现金流入小计(万元),44576,41988,34121,27750,25376,21641,22121,18135, 
 购买商品、接受劳务支付的现金(万元),12135,15057,11069,8334,8818,7326,7243,8105, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),8604,6512,4988,4326,3958,3253,3099,2233, 
 支付的各项税费(万元),6872,5346,4226,3670,4078,3460,2924,1751, 
 支付的其他与经营活动有关的现金(万元),3251,2679,2488,2157,2087,1973,2247,1088, 
 经营活动现金流出小计(万元),30863,29594,22770,18487,18941,16013,15513,13177, 
 经营活动产生的现金流量净额(万元),13713,12395,11351,9263,6435,5628,6608,4959, 
 收回投资所收到的现金(万元),187470,68000,35200,40600,31400,5355,48620,1634, 
 取得投资收益所收到的现金(万元),2268,1439,335,446,373,308,243,16, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),32,27,25,10,52,3,12,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),5791,9123,123,31,300,300,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),195562,78589,35682,41087,32125,5966,48875,1651, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1908,2822,6948,427,795,1613,555,857, 
 投资所支付的现金(万元),192400,113770,35200,40600,31310,90,48475,8708, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),149,10838,3122,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),194456,127430,45270,41027,32105,1703,49030,9565, 
 投资活动产生的现金流量净额(万元),1105,-48841,-9587,60,20,4263,-155,-7914, 
 吸收投资收到的现金(万元),--,4473,35649,--,--,--,4569,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,5355,--, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,4473,35649,0,0,0,9924,0, 
 偿还债务支付的现金(万元),--,--,--,--,--,5323,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),4019,4140,8280,5865,3036,3356,9956,--, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),35,197,284,--,--,--,--,--, 
 筹资活动现金流出小计(万元),4054,4337,8564,5865,3036,8679,9956,0, 
 筹资活动产生的现金流量净额(万元),-4054,136,27085,-5865,-3036,-8679,-32,0, 
 汇率变动对现金及现金等价物的影响(万元),674,-447,175,22,9,-5,-9,-11, 
 现金及现金等价物净增加额(万元),11439,-36758,29024,3481,3428,1207,6412,-2966, 
 加:期初现金及现金等价物余额(万元),10171,46929,17905,14424,10996,9789,3378,6343, 
 期末现金及现金等价物余额(万元),21609,10171,46929,17905,14424,10996,9789,3378, 
 净利润(万元),15710,13165,10320,8162,7430,5794,5434,3962, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--, 
 资产减值准备(万元),221,143,107,65,94,53,94,25, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1020,762,534,562,568,486,459,464, 
 无形资产摊销(万元),103,95,64,58,39,19,12,11, 
 长期待摊费用摊销(万元),29,9,10,14,29,65,59,86, 
