 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31, 
 销售商品、提供劳务收到的现金(万元),238995,142349,119980,82586, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--, 
 收到的税费返还(万元),21138,9706,8662,5744, 
 收到的其他与经营活动有关的现金(万元),3099,1080,494,695, 
 经营活动现金流入小计(万元),263231,153135,129136,89025, 
 购买商品、接受劳务支付的现金(万元),167657,96484,82795,60695, 
 客户贷款及垫款净增加额(万元),--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),28549,19348,13882,9174, 
 支付的各项税费(万元),5871,5487,6419,1448, 
 支付的其他与经营活动有关的现金(万元),20423,15194,11418,7564, 
 经营活动现金流出小计(万元),222499,136514,114514,78881, 
 经营活动产生的现金流量净额(万元),40732,16622,14622,10144, 
 收回投资所收到的现金(万元),50,--,--,--, 
 取得投资收益所收到的现金(万元),161,19,94,26, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),35,59,65,118, 
 处置子公司及其他营业单位收到的现金净额(万元),--,544,4690,--, 
 收到的其他与投资活动有关的现金(万元),112880,27000,20354,10547, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--, 
 投资活动现金流入小计(万元),113126,27622,25203,10691, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),27056,10121,11749,4372, 
 投资所支付的现金(万元),--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,1860,2664, 
 支付的其他与投资活动有关的现金(万元),102009,43900,22387,15155, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--, 
 投资活动现金流出小计(万元),129066,54021,35995,22191, 
 投资活动产生的现金流量净额(万元),-15939,-26399,-10792,-11500, 
 吸收投资收到的现金(万元),50,25136,8332,1000, 
 其中：子公司吸收少数股东投资收到的现金(万元),50,300,3000,1000, 
 取得借款收到的现金(万元),28068,20057,19366,37726, 
 发行债券收到的现金(万元),--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,1000,5000, 
 筹资活动现金流入小计(万元),28118,45193,28698,43726, 
 偿还债务支付的现金(万元),23886,23711,18836,40713, 
 分配股利、利润或偿付利息所支付的现金(万元),794,793,9187,804, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,3734,7416,40, 
 筹资活动现金流出小计(万元),24681,28238,35438,41557, 
 筹资活动产生的现金流量净额(万元),3438,16955,-6741,2170, 
 汇率变动对现金及现金等价物的影响(万元),1775,-530,540,873, 
 现金及现金等价物净增加额(万元),30005,6648,-2371,1686, 
 加:期初现金及现金等价物余额(万元),12925,6277,8648,6962, 
 期末现金及现金等价物余额(万元),42930,12925,6277,8648, 
 净利润(万元),29214,11271,11542,5595, 
 少数股东损益(万元),--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--, 
 资产减值准备(万元),3824,422,881,513, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1921,1582,1331,843, 
 无形资产摊销(万元),2244,2494,2271,2237, 
 长期待摊费用摊销(万元),708,321,303,252, 
 待摊费用的减少(万元),--,--,--,--, 
 预提费用的增加(万元),--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-8,-19,--,--, 
 固定资产报废损失(万元),93,102,285,382, 
 公允价值变动损失(万元),307,--,--,4, 
 递延收益增加(减：减少)(万元),--,--,--,--, 
 预计负债(万元),--,--,--,--, 
 财务费用(万元),-1235,3574,-1312,-185, 
 投资损失(万元),201,-63,-142,-26, 
 递延所得税资产减少(万元),-956,-404,-115,-485, 
 递延所得税负债增加(万元),18,51,-41,68, 
 存货的减少(万元),2743,-4783,-5596,-7757, 
 经营性应收项目的减少(万元),-10690,2393,-8431,-4404, 
 经营性应付项目的增加(万元),12345,-319,7535,13106, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--, 
 其他(万元),--,--,6111,--, 
 经营活动产生现金流量净额(万元),40732,16622,14622,10144, 
 债务转为资本(万元),--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--, 
 现金的期末余额(万元),42930,12925,6277,8648, 
 现金的期初余额(万元),12925,6277,8648,6962, 
 现金等价物的期末余额(万元),--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--, 
 现金及现金等价物的净增加额(万元),30005,6648,-2371,1686, 

