 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31, 
 销售商品、提供劳务收到的现金(万元),4518221,6898011,5977657,5113577,3533486,2877790,1574373,603820,259532,139944,253992,54973,37216,5747,4558, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 收到的税费返还(万元),1101,1355,1625,--,10,--,--,18,1124,10474,21301,0,0,0,0, 
 收到的其他与经营活动有关的现金(万元),186908,25419,39542,24056,11717,35274,43724,24152,15823,5417,9310,1438,3352,1003,2, 
 经营活动现金流入小计(万元),4706231,6924786,6018824,5137633,3545212,2913064,1618097,627990,276480,155836,284603,56411,40568,6750,4560, 
 购买商品、接受劳务支付的现金(万元),5083707,6858828,6127901,5206121,3496516,2826066,1391535,524749,261594,134488,259627,58757,34450,1754,1993, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 支付给职工以及为职工支付的现金(万元),10714,11532,10858,5318,3209,3058,3146,3699,2795,2519,1842,908,567,448,407, 
 支付的各项税费(万元),7449,14153,14831,7236,6340,4269,6134,3271,4144,1602,1660,2439,86,53,79, 
 支付的其他与经营活动有关的现金(万元),71032,23879,32175,14090,7873,59937,64187,13093,15579,11638,24631,3652,968,501,2533, 
 经营活动现金流出小计(万元),5172903,6908392,6185764,5232766,3513937,2893330,1465002,544812,284113,150247,287760,65756,36071,2756,5013, 
 经营活动产生的现金流量净额(万元),-466672,16394,-166940,-95133,31276,19734,153095,83178,-7633,5590,-3158,-9344,4497,3994,-453, 
 收回投资所收到的现金(万元),280430,50335,312603,130830,10,10000,1000,--,--,0,--,10,0,0,10, 
 取得投资收益所收到的现金(万元),3719,2593,16221,6158,--,--,17,--,--,0,--,0,0,0,0, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),179,4,14171,173,81,34,31,50,15,0,--,729,0,0,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,1873,--,--,--,--,--,--,0,--,0,0,0,0, 
 收到的其他与投资活动有关的现金(万元),15604,2382,--,5000,--,--,81733,619,--,0,--,0,0,0,0, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 投资活动现金流入小计(万元),299932,55314,344869,142161,91,10034,82782,669,15,0,--,739,0,0,10, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),8149,1408,31226,900,127,592,128,5851,3170,1001,3362,5864,3825,4490,4674, 
 投资所支付的现金(万元),271178,120381,346364,144151,--,1510,1040,--,--,0,21,10,0,0,0, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,15391,1458,--,--,--,--,0,--,0,0,0,0, 
 支付的其他与投资活动有关的现金(万元),6372,10000,2382,173,5000,4744,93507,1490,453,0,--,0,0,0,0, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,0,--,0,0,0,0, 
 投资活动现金流出小计(万元),285698,131788,379972,160615,6585,6846,94676,7341,3623,1001,3384,5874,3825,4490,4674, 
 投资活动产生的现金流量净额(万元),14234,-76474,-35103,-18454,-6494,3188,-11894,-6672,-3608,-1001,-3384,-5135,-3825,-4490,-4664, 
 吸收投资收到的现金(万元),--,--,--,148626,--,--,--,--,--,175,26185,625,0,90,2385, 
