 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),291406,218303,157566,108746,72365, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),14282,13390,4164,2410,--, 
 收到的其他与经营活动有关的现金(万元),6382,6594,3026,2460,2968, 
 经营活动现金流入小计(万元),312070,238288,164757,113617,75333, 
 购买商品、接受劳务支付的现金(万元),59683,41851,33459,23702,17564, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),121413,93640,69075,43367,33935, 
 支付的各项税费(万元),8494,5871,4157,1457,594, 
 支付的其他与经营活动有关的现金(万元),48754,41705,34489,23397,22026, 
 经营活动现金流出小计(万元),238344,183066,141180,91923,74120, 
 经营活动产生的现金流量净额(万元),73726,55222,23577,21694,1213, 
 收回投资所收到的现金(万元),--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2238,36,41,7,1, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),2238,36,41,7,1, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),64099,93467,105549,25832,8194, 
 投资所支付的现金(万元),9600,--,327,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,34560,8073,22264,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--, 
