 报告日期,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),109992,89126,82013,38237,16976,18013, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),13108,9704,5560,3641,1433,1091, 
 收到的其他与经营活动有关的现金(万元),486,1392,416,560,329,283, 
 经营活动现金流入小计(万元),123587,100222,87989,42438,18739,19387, 
 购买商品、接受劳务支付的现金(万元),80739,63032,53570,32311,11109,9950, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),17607,14961,10433,6208,4521,3947, 
 支付的各项税费(万元),3883,4909,6319,3204,1663,935, 
 支付的其他与经营活动有关的现金(万元),11596,9040,10703,6950,3125,2683, 
 经营活动现金流出小计(万元),113825,91942,81025,48673,20418,17514, 
 经营活动产生的现金流量净额(万元),9761,8281,6964,-6235,-1680,1873, 
 收回投资所收到的现金(万元),142000,15784,--,--,--,--, 
 取得投资收益所收到的现金(万元),1607,12,1,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),4,8,1,--,--,10, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),649,1515,1646,607,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
 投资活动现金流入小计(万元),144260,17319,1648,607,0,10, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),37024,21260,8270,4615,3728,3849, 
 投资所支付的现金(万元),102430,74784,--,--,87,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),398,160,1235,2062,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--, 
 投资活动现金流出小计(万元),139852,96204,9505,6677,3815,3849, 
 投资活动产生的现金流量净额(万元),4408,-78885,-7857,-6071,-3815,-3839, 
 吸收投资收到的现金(万元),4981,74368,--,18120,--,846, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--, 
 取得借款收到的现金(万元),127228,67909,43791,24920,20431,10803, 
 发行债券收到的现金(万元),--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),272,253,120,5794,1500,576, 
 筹资活动现金流入小计(万元),132480,142531,43911,48834,21931,12225, 
 偿还债务支付的现金(万元),87790,53049,36752,27409,14415,9221, 
 分配股利、利润或偿付利息所支付的现金(万元),6148,1155,687,671,435,544, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),11143,3862,2789,7359,1987,491, 
 筹资活动现金流出小计(万元),105081,58066,40228,35438,16837,10256, 
 筹资活动产生的现金流量净额(万元),27400,84465,3683,13396,5094,1970, 
 汇率变动对现金及现金等价物的影响(万元),632,-344,323,182,19,-95, 
 现金及现金等价物净增加额(万元),42201,13516,3113,1272,-382,-91, 
 加:期初现金及现金等价物余额(万元),18059,4542,1429,157,539,630, 
 期末现金及现金等价物余额(万元),60260,18059,4542,1429,157,539, 
 净利润(万元),6030,11604,14464,5587,801,--, 
 少数股东损益(万元),--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--, 
 资产减值准备(万元),1195,577,66,748,1138,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),4836,3045,1966,1393,1102,--, 
 无形资产摊销(万元),111,122,96,67,57,--, 
 长期待摊费用摊销(万元),3,1,0,108,43,--, 
 待摊费用的减少(万元),--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-3,23,1,--,--,--, 
 固定资产报废损失(万元),131,3,2,4,0,--, 
 公允价值变动损失(万元),--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--, 
 财务费用(万元),4184,1096,632,729,564,--, 
 投资损失(万元),-1507,-193,-1,--,--,--, 
 递延所得税资产减少(万元),-538,41,-241,90,-294,--, 
 递延所得税负债增加(万元),--,-4,-4,-4,-4,--, 
 存货的减少(万元),-9391,-8700,-1286,-7498,-1459,--, 
 经营性应收项目的减少(万元),-14273,-3465,-13402,-9804,-5203,--, 
 经营性应付项目的增加(万元),18451,4157,4686,2363,1574,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--, 
 其他(万元),530,-26,-16,-19,--,--, 
 经营活动产生现金流量净额(万元),9761,8281,6964,-6235,-1680,--, 
 债务转为资本(万元),--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--, 
 融资租入固定资产(万元),1549,2636,4305,--,1611,--, 
 现金的期末余额(万元),60260,18059,4542,1429,157,539, 
 现金的期初余额(万元),18059,4542,1429,157,539,630, 
 现金等价物的期末余额(万元),--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),42201,13516,3113,1272,-382,-91, 

